Target gene	Representative transcript	Gene name	3P-seq tags + 5	Total sites	8mer sites	7mer-m8 sites	7mer-A1 sites	6mer sites	Representative miRNA	Predicted occupancy (low miRNA)	Predicted occupancy (high miRNA)	Predicted occupancy (transfected miRNA)	Cumulative weighted context++ score	Total context++ score	Aggregate PCT
Pi4k2a	ENSMUST00000066778.4	phosphatidylinositol 4-kinase type 2 alpha 	1785	3	1	1	1	1	mmu-miR-486a-3p				-0.71	-0.71	< 0.1
Furin	ENSMUST00000122232.2	furin (paired basic amino acid cleaving enzyme) 	351	2	0	2	0	2	mmu-miR-6954-5p				-0.71	-0.73	< 0.1
Impdh1	ENSMUST00000160878.2	inosine 5'-phosphate dehydrogenase 1 	2090	3	1	2	0	0	mmu-miR-6954-5p				-0.71	-0.71	< 0.1
Cyb5a	ENSMUST00000160180.2	cytochrome b5 type A (microsomal) 	35996	1	1	0	0	0	mmu-miR-486a-3p				-0.71	-0.71	< 0.1
Pmm2	ENSMUST00000023396.9	phosphomannomutase 2 	799	2	1	1	0	0	mmu-miR-6954-5p				-0.70	-0.71	< 0.1
Mark2	ENSMUST00000032557.9	MAP/microtubule affinity-regulating kinase 2 	75	3	1	2	0	0	mmu-miR-6954-5p				-0.70	-0.72	< 0.1
Leng8	ENSMUST00000037472.7	leukocyte receptor cluster (LRC) member 8 	1360	4	1	2	1	1	mmu-miR-6954-5p				-0.70	-0.71	< 0.1
Phb	ENSMUST00000125172.2	prohibitin 	958	2	1	1	0	0	mmu-miR-486a-3p				-0.70	-0.86	< 0.1
Cabyr	ENSMUST00000186263.1	calcium-binding tyrosine-(Y)-phosphorylation regulated (fibrousheathin 2) 	13	2	1	0	1	0	mmu-miR-486a-3p				-0.70	-0.70	< 0.1
Ccdc23	ENSMUST00000106345.2	coiled-coil domain containing 23 	152	1	1	0	0	0	mmu-miR-486a-3p				-0.70	-0.72	< 0.1
Sh3kbp1	ENSMUST00000112456.3	SH3-domain kinase binding protein 1 	256	0	0	0	0	1	mmu-miR-486a-3p				-0.70	-0.70	< 0.1
Prmt8	ENSMUST00000032500.8	protein arginine N-methyltransferase 8 	11	2	1	1	0	1	mmu-miR-6954-5p				-0.70	-0.70	< 0.1
Rab3il1	ENSMUST00000121418.2	RAB3A interacting protein (rabin3)-like 1 	267	3	1	2	0	0	mmu-miR-6954-5p				-0.69	-0.86	< 0.1
Sncb	ENSMUST00000036825.8	synuclein, beta 	5	1	1	0	0	2	mmu-miR-486a-3p				-0.69	-0.69	< 0.1
Scn2b	ENSMUST00000170998.2	sodium channel, voltage-gated, type II, beta 	51	3	1	2	0	2	mmu-miR-6954-5p				-0.69	-0.69	< 0.1
Acap1	ENSMUST00000001631.6	ArfGAP with coiled-coil, ankyrin repeat and PH domains 1 	12	1	1	0	0	0	mmu-miR-6954-5p				-0.69	-0.69	< 0.1
Mef2d	ENSMUST00000119251.2	myocyte enhancer factor 2D 	1438	2	0	1	1	4	mmu-miR-6954-5p				-0.69	-0.74	< 0.1
Gm5577	ENSMUST00000153372.1	predicted gene 5577 	5	1	1	0	0	0	mmu-miR-486a-3p				-0.69	-0.69	< 0.1
Ing5	ENSMUST00000027505.7	inhibitor of growth family, member 5 	607	3	2	0	1	0	mmu-miR-486a-3p				-0.69	-0.76	< 0.1
Pip4k2b	ENSMUST00000018691.8	phosphatidylinositol-5-phosphate 4-kinase, type II, beta 	761	3	1	2	0	1	mmu-miR-6954-5p				-0.69	-0.69	< 0.1
Ctc1	ENSMUST00000021278.8	CTS telomere maintenance complex component 1 	602	2*	1	0	0	1	mmu-miR-486a-3p				-0.68	-0.68	< 0.1
Ppp1ca	ENSMUST00000046094.4	protein phosphatase 1, catalytic subunit, alpha isoform 	40100	1	1	0	0	0	mmu-miR-486a-3p				-0.68	-0.68	< 0.1
Zc4h2	ENSMUST00000120620.2	zinc finger, C4H2 domain containing 	14	2	1	0	1	0	mmu-miR-486a-3p				-0.68	-0.68	< 0.1
Bhlha15	ENSMUST00000060747.7	basic helix-loop-helix family, member a15 	13	1	1	0	0	0	mmu-miR-486a-3p				-0.68	-0.68	< 0.1
Gatsl2	ENSMUST00000016088.8	GATS protein-like 2 	177	4	1	3	0	1	mmu-miR-6954-5p				-0.68	-0.76	< 0.1
2310011J03Rik	ENSMUST00000020341.8	RIKEN cDNA 2310011J03 gene 	2555	1	1	0	0	1	mmu-miR-6954-5p				-0.68	-0.68	< 0.1
Ccnd2	ENSMUST00000000188.8	cyclin D2 	9744	2	0	2	0	2	mmu-miR-486a-3p				-0.67	-0.68	< 0.1
Trim47	ENSMUST00000106441.2	tripartite motif-containing 47 	1374	1	1	0	0	0	mmu-miR-486a-3p				-0.67	-0.67	< 0.1
Tmem97	ENSMUST00000103242.4	transmembrane protein 97 	543	1	1	0	0	0	mmu-miR-486a-3p				-0.67	-0.67	< 0.1
Tpbpa	ENSMUST00000021885.6	trophoblast specific protein alpha 	5	1	1	0	0	0	mmu-miR-486a-3p				-0.67	-0.67	< 0.1
Npc2	ENSMUST00000021668.8	Niemann-Pick type C2 	16207	1	1	0	0	0	mmu-miR-486a-3p				-0.67	-0.67	< 0.1
Nr5a1	ENSMUST00000112883.2	nuclear receptor subfamily 5, group A, member 1 	5	3	0	2	1	0	mmu-miR-6954-5p				-0.67	-0.67	< 0.1
Hapln4	ENSMUST00000007738.9	hyaluronan and proteoglycan link protein 4 	42	4	2	2	0	0	mmu-miR-486a-3p				-0.67	-1.00	< 0.1
Map3k11	ENSMUST00000004156.8	mitogen-activated protein kinase kinase kinase 11 	880	2	1	1	0	1	mmu-miR-6954-5p				-0.67	-0.68	< 0.1
Zbtb40	ENSMUST00000049583.7	zinc finger and BTB domain containing 40 	110	2	2	0	0	0	mmu-miR-486a-3p				-0.66	-0.68	< 0.1
Lpin3	ENSMUST00000109455.3	lipin 3 	151	2	1	1	0	0	mmu-miR-486a-3p				-0.66	-0.89	< 0.1
Tmem104	ENSMUST00000100235.3	transmembrane protein 104 	248	4	0	3	1	2	mmu-miR-6954-5p				-0.66	-0.66	< 0.1
Tpi1	ENSMUST00000172132.3	triosephosphate isomerase 1 	742	1	1	0	0	0	mmu-miR-486a-3p				-0.66	-0.66	< 0.1
Ap5b1	ENSMUST00000096318.3	adaptor-related protein complex 5, beta 1 subunit 	83	1	1	0	0	0	mmu-miR-486a-3p				-0.66	-0.66	< 0.1
Rsph6a	ENSMUST00000035521.5	radial spoke head 6 homolog A (Chlamydomonas) 	5	1	1	0	0	0	mmu-miR-486a-3p				-0.66	-0.66	< 0.1
Bcl7b	ENSMUST00000031692.6	B cell CLL/lymphoma 7B 	1040	2	1	0	1	0	mmu-miR-486a-3p				-0.66	-0.66	< 0.1
Plac9b	ENSMUST00000184142.2	placenta specific 9b 	5	1	1	0	0	0	mmu-miR-486a-3p				-0.66	-0.66	< 0.1
Sh3rf1	ENSMUST00000034060.5	SH3 domain containing ring finger 1 	381	4	0	3	1	0	mmu-miR-6954-5p				-0.66	-0.71	< 0.1
Aldh3b2	ENSMUST00000143380.1	aldehyde dehydrogenase 3 family, member B2 	192	1	1	0	0	0	mmu-miR-486a-3p				-0.66	-0.66	< 0.1
Fcgr4	ENSMUST00000078825.4	Fc receptor, IgG, low affinity IV 	92	1	1	0	0	0	mmu-miR-486a-3p				-0.65	-0.69	< 0.1
Polr2j	ENSMUST00000041366.8	polymerase (RNA) II (DNA directed) polypeptide J 	2476	1	1	0	0	0	mmu-miR-486a-3p				-0.65	-0.66	< 0.1
Grm2	ENSMUST00000023959.8	glutamate receptor, metabotropic 2 	5	2	1	1	0	1	mmu-miR-6954-5p				-0.65	-0.65	< 0.1
Arhgdia	ENSMUST00000106197.4	Rho GDP dissociation inhibitor (GDI) alpha 	42422	2	0	1	1	0	mmu-miR-486a-3p				-0.65	-0.65	< 0.1
Tusc2	ENSMUST00000010198.3	tumor suppressor candidate 2 	30	2	1	0	1	0	mmu-miR-486a-3p				-0.65	-0.73	< 0.1
Arpc4	ENSMUST00000156898.1	actin related protein 2/3 complex, subunit 4 	2340	2	1	1	0	0	mmu-miR-486a-3p				-0.65	-0.72	< 0.1
Adamts4	ENSMUST00000111315.2	a disintegrin-like and metallopeptidase (reprolysin type) with thrombospondin type 1 motif, 4 	36	2	1	1	0	0	mmu-miR-486a-3p				-0.65	-0.65	< 0.1
Rab4b	ENSMUST00000093040.7	RAB4B, member RAS oncogene family 	975	1	1	0	0	0	mmu-miR-6954-5p				-0.65	-0.65	< 0.1
Gdnf	ENSMUST00000022744.3	glial cell line derived neurotrophic factor 	12	3	2	1	0	0	mmu-miR-6954-5p				-0.65	-0.72	< 0.1
Vps9d1	ENSMUST00000117643.2	VPS9 domain containing 1 	1280	2	1	1	0	0	mmu-miR-486a-3p				-0.65	-0.65	< 0.1
Klf14	ENSMUST00000101589.4	Kruppel-like factor 14 	14	4	0	2	2	0	mmu-miR-6954-5p				-0.65	-0.65	< 0.1
Clic3	ENSMUST00000114265.3	chloride intracellular channel 3 	70	1	1	0	0	0	mmu-miR-486a-3p				-0.64	-0.82	< 0.1
Atoh8	ENSMUST00000042646.7	atonal homolog 8 (Drosophila) 	155	3	1	0	2	0	mmu-miR-6954-5p				-0.64	-0.64	< 0.1
Plac9a	ENSMUST00000052286.9	placenta specific 9a 	5	1	1	0	0	0	mmu-miR-486a-3p				-0.64	-0.64	< 0.1
Mmp24	ENSMUST00000029141.5	matrix metallopeptidase 24 	17	2	0	1	1	3	mmu-miR-486a-3p				-0.64	-0.64	< 0.1
Wdr89	ENSMUST00000062370.8	WD repeat domain 89 	119	3	1	2	0	0	mmu-miR-486a-3p				-0.64	-0.66	< 0.1
Relt	ENSMUST00000008462.4	RELT tumor necrosis factor receptor 	46	2	0	2	0	1	mmu-miR-486a-3p				-0.64	-0.64	< 0.1
Znrf1	ENSMUST00000171182.2	zinc and ring finger 1 	212	5	1	3	1	0	mmu-miR-6954-5p				-0.64	-1.02	< 0.1
Ttbk1	ENSMUST00000047034.8	tau tubulin kinase 1 	25	4	1	2	1	1	mmu-miR-6954-5p				-0.64	-0.64	< 0.1
Kcna1	ENSMUST00000055168.3	potassium voltage-gated channel, shaker-related subfamily, member 1 	30	2	2	0	0	0	mmu-miR-486a-3p				-0.64	-0.64	< 0.1
Snx1	ENSMUST00000034946.9	sorting nexin 1 	588	1	1	0	0	1	mmu-miR-486a-3p				-0.63	-0.64	< 0.1
