Target gene	Representative transcript	Gene name	3P-seq tags + 5	Total sites	8mer sites	7mer-m8 sites	7mer-A1 sites	6mer sites	Representative miRNA	Predicted occupancy (low miRNA)	Predicted occupancy (high miRNA)	Predicted occupancy (transfected miRNA)	Cumulative weighted context++ score	Total context++ score	Aggregate PCT
Klra17	ENSMUST00000014687.5	killer cell lectin-like receptor, subfamily A, member 17 	16	1	1	0	0	0	mmu-miR-378a-5p				-0.50	-0.50	< 0.1
Cd37	ENSMUST00000098461.2	CD37 antigen 	105	1	1	0	0	0	mmu-miR-378a-5p				-0.50	-0.50	< 0.1
Mphosph6	ENSMUST00000034303.1	M phase phosphoprotein 6 	86	1	1	0	0	0	mmu-miR-378a-5p				-0.49	-0.49	< 0.1
Gm21786	ENSMUST00000177892.1	predicted gene, 21786 	5	2	0	2	0	0	mmu-miR-378a-5p				-0.49	-0.49	< 0.1
Ccnc	ENSMUST00000065928.5	cyclin C 	446	2	1	0	1	0	mmu-miR-378a-5p				-0.49	-0.55	< 0.1
D730048I06Rik	ENSMUST00000034619.1	RIKEN cDNA D730048I06 gene 	5	1	1	0	0	0	mmu-miR-378a-5p				-0.49	-0.49	< 0.1
Gm16522	ENSMUST00000097479.1	predicted gene, 16522 	5	1	1	0	0	0	mmu-miR-378a-5p				-0.49	-0.49	< 0.1
Zfp108	ENSMUST00000072713.6	zinc finger protein 108 	24	1	1	0	0	1	mmu-miR-378a-5p				-0.49	-0.49	< 0.1
Mplkip	ENSMUST00000049744.3	M-phase specific PLK1 intereacting protein 	647	0	0	0	0	0	mmu-miR-378a-5p				-0.48	-0.48	< 0.1
Sult1a1	ENSMUST00000106371.2	sulfotransferase family 1A, phenol-preferring, member 1 	764	1	1	0	0	0	mmu-miR-378a-5p				-0.48	-0.50	< 0.1
Ccdc32	ENSMUST00000036470.8	coiled-coil domain containing 32 	362	1	1	0	0	0	mmu-miR-378a-5p				-0.48	-0.48	< 0.1
Hrasls	ENSMUST00000089824.5	HRAS-like suppressor 	808	3	2	1	0	0	mmu-miR-378a-5p				-0.48	-0.67	< 0.1
Gm5641	ENSMUST00000091130.3	predicted gene 5641 	5	1	1	0	0	1	mmu-miR-378a-5p				-0.47	-0.47	< 0.1
Gm5089	ENSMUST00000081580.2	predicted gene 5089 	5	1	1	0	0	0	mmu-miR-378a-5p				-0.47	-0.47	< 0.1
Hey1	ENSMUST00000042412.3	hairy/enhancer-of-split related with YRPW motif 1 	256	1	1	0	0	0	mmu-miR-378a-5p				-0.47	-0.47	< 0.1
4931429L15Rik	ENSMUST00000159565.2	RIKEN cDNA 4931429L15 gene 	5	1	1	0	0	0	mmu-miR-378a-5p				-0.47	-0.47	< 0.1
Gpr114	ENSMUST00000166802.2	G protein-coupled receptor 114 	21	2	2	0	0	0	mmu-miR-378a-5p				-0.47	-0.47	< 0.1
Gucy2d	ENSMUST00000098274.3	guanylate cyclase 2d 	5	1	1	0	0	0	mmu-miR-378a-5p				-0.46	-0.46	< 0.1
Adam24	ENSMUST00000051614.3	a disintegrin and metallopeptidase domain 24 (testase 1) 	5	1	1	0	0	0	mmu-miR-378a-5p				-0.45	-0.45	< 0.1
Inpp5d	ENSMUST00000169754.2	inositol polyphosphate-5-phosphatase D 	289	1	0	0	1	4	mmu-miR-378a-5p				-0.45	-0.46	< 0.1
Ap4b1	ENSMUST00000047285.2	adaptor-related protein complex AP-4, beta 1 	586	1	1	0	0	0	mmu-miR-378a-5p				-0.45	-0.45	< 0.1
RP23-230O9.7	ENSMUST00000191407.1		7	2	1	0	1	0	mmu-miR-378a-5p				-0.44	-0.44	< 0.1
Itm2a	ENSMUST00000033591.5	integral membrane protein 2A 	4264	1	1	0	0	0	mmu-miR-378a-5p				-0.44	-0.44	< 0.1
Nyap1	ENSMUST00000118326.2	neuronal tyrosine-phosphorylated phosphoinositide 3-kinase adaptor 1 	24	1	1	0	0	0	mmu-miR-378a-5p				-0.44	-0.44	< 0.1
A630001G21Rik	ENSMUST00000159122.2	RIKEN cDNA A630001G21 gene 	27	1	1	0	0	0	mmu-miR-378a-5p				-0.44	-0.46	< 0.1
Rnf41	ENSMUST00000096386.6	ring finger protein 41 	246	1	1	0	0	6	mmu-miR-378a-5p				-0.44	-0.44	< 0.1
Fam195b	ENSMUST00000034913.4	family with sequence similarity 195, member B 	244	1	1	0	0	0	mmu-miR-378a-5p				-0.44	-0.44	< 0.1
Gm6793	ENSMUST00000071732.5	predicted gene 6793 	5	1	1	0	0	1	mmu-miR-378a-5p				-0.44	-0.44	< 0.1
Slc30a5	ENSMUST00000067246.4	solute carrier family 30 (zinc transporter), member 5 	1287	2	1	0	1	1	mmu-miR-378a-5p				-0.43	-0.45	< 0.1
Olfr16	ENSMUST00000038432.4	olfactory receptor 16 	5	1	0	1	0	0	mmu-miR-378a-5p				-0.43	-0.43	< 0.1
Gm21244	ENSMUST00000189201.1	predicted gene, 21244 	5	2	0	2	0	1	mmu-miR-378a-5p				-0.43	-0.43	< 0.1
Cnpy1	ENSMUST00000118882.1	canopy 1 homolog (zebrafish) 	268	2	2	0	0	0	mmu-miR-378a-5p				-0.43	-0.78	< 0.1
Cel	ENSMUST00000028161.5	carboxyl ester lipase 	5	1	1	0	0	0	mmu-miR-378a-5p				-0.43	-0.43	< 0.1
Tectb	ENSMUST00000025936.6	tectorin beta 	19	2	1	1	0	0	mmu-miR-378a-5p				-0.43	-0.43	< 0.1
Rnf11	ENSMUST00000030284.4	ring finger protein 11 	10289	2	2	0	0	0	mmu-miR-378a-5p				-0.43	-0.74	< 0.1
Gm7102	ENSMUST00000180168.1	predicted gene 7102 	5	1	1	0	0	0	mmu-miR-378a-5p				-0.43	-0.43	< 0.1
Rbp1	ENSMUST00000052068.10	retinol binding protein 1, cellular 	711	2	0	1	1	1	mmu-miR-378a-5p				-0.43	-0.43	< 0.1
Rilpl2	ENSMUST00000031347.7	Rab interacting lysosomal protein-like 2 	904	1	1	0	0	0	mmu-miR-378a-5p				-0.43	-0.43	< 0.1
Lalba	ENSMUST00000023726.3	lactalbumin, alpha 	5	1	1	0	0	0	mmu-miR-378a-5p				-0.42	-0.42	< 0.1
Tonsl	ENSMUST00000078803.3	tonsoku-like, DNA repair protein 	2417	1	0	1	0	0	mmu-miR-378a-5p				-0.42	-0.43	< 0.1
Dse	ENSMUST00000048010.7	dermatan sulfate epimerase 	2573	1	1	0	0	1	mmu-miR-378a-5p				-0.42	-0.42	< 0.1
Cox17	ENSMUST00000120495.1	cytochrome c oxidase assembly protein 17 	280	1	1	0	0	0	mmu-miR-378a-5p				-0.42	-0.42	< 0.1
H1foo	ENSMUST00000161969.1	H1 histone family, member O, oocyte-specific 	5	1	1	0	0	0	mmu-miR-378a-5p				-0.42	-0.42	< 0.1
Gm16432	ENSMUST00000094273.4	predicted gene 16432 	5	1	1	0	0	0	mmu-miR-378a-5p				-0.41	-0.41	< 0.1
Snx5	ENSMUST00000110030.4	sorting nexin 5 	7416	1	1	0	0	0	mmu-miR-378a-5p				-0.41	-0.49	< 0.1
Ptbp3	ENSMUST00000030076.6	polypyrimidine tract binding protein 3 	2804	2	0	0	2	3	mmu-miR-378a-5p				-0.41	-0.42	< 0.1
Ube2w	ENSMUST00000117146.2	ubiquitin-conjugating enzyme E2W (putative) 	1410	0	0	0	0	3	mmu-miR-378a-5p				-0.41	-0.41	< 0.1
Mylip	ENSMUST00000038275.9	myosin regulatory light chain interacting protein 	361	1	1	0	0	1	mmu-miR-378a-5p				-0.41	-0.43	< 0.1
Prpf18	ENSMUST00000035721.8	PRP18 pre-mRNA processing factor 18 homolog (yeast) 	850	2	1	0	1	0	mmu-miR-378a-5p				-0.41	-0.41	< 0.1
Set	ENSMUST00000102866.4	SET nuclear oncogene 	1369	1	1	0	0	0	mmu-miR-378a-5p				-0.41	-0.41	< 0.1
Zdhhc21	ENSMUST00000030110.9	zinc finger, DHHC domain containing 21 	885	2	1	0	1	0	mmu-miR-378a-5p				-0.41	-0.41	< 0.1
A830080D01Rik	ENSMUST00000057180.7	RIKEN cDNA A830080D01 gene 	420	1	1	0	0	0	mmu-miR-378a-5p				-0.41	-0.41	< 0.1
Kbtbd4	ENSMUST00000111464.2	kelch repeat and BTB (POZ) domain containing 4 	1305	1	1	0	0	0	mmu-miR-378a-5p				-0.40	-0.40	< 0.1
Ccdc78	ENSMUST00000095500.4	coiled-coil domain containing 78 	109	1	0	1	0	0	mmu-miR-378a-5p				-0.40	-0.41	< 0.1
Zfp397	ENSMUST00000060762.4	zinc finger protein 397 	563	4	1	1	2	0	mmu-miR-378a-5p				-0.40	-0.44	< 0.1
Vapb	ENSMUST00000067530.4	vesicle-associated membrane protein, associated protein B and C 	2183	1	1	0	0	2	mmu-miR-378a-5p				-0.40	-0.41	< 0.1
Tmem239	ENSMUST00000055421.5	transmembrane 239 	5	1	1	0	0	0	mmu-miR-378a-5p				-0.40	-0.40	< 0.1
Fam111a	ENSMUST00000144662.2	family with sequence similarity 111, member A 	301	1	1	0	0	0	mmu-miR-378a-5p				-0.40	-0.40	< 0.1
Zfp952	ENSMUST00000087666.5	zinc finger protein 952 	372	1	1	0	0	0	mmu-miR-378a-5p				-0.40	-0.40	< 0.1
4930502E18Rik	ENSMUST00000069209.1	RIKEN cDNA 4930502E18 gene 	19	1	1	0	0	0	mmu-miR-378a-5p				-0.39	-0.39	< 0.1
Gcsam	ENSMUST00000023339.4	germinal center associated, signaling and motility 	15	1	1	0	0	0	mmu-miR-378a-5p				-0.39	-0.42	< 0.1
Krt72	ENSMUST00000071104.4	keratin 72 	5	1	1	0	0	0	mmu-miR-378a-5p				-0.39	-0.39	< 0.1
Atp5s	ENSMUST00000021372.5	ATP synthase, H+ transporting, mitochondrial F0 complex, subunit S 	339	1	1	0	0	0	mmu-miR-378a-5p				-0.39	-0.57	< 0.1
Capn11	ENSMUST00000120717.2	calpain 11 	10	1	1	0	0	0	mmu-miR-378a-5p				-0.39	-0.39	< 0.1
Cct8l1	ENSMUST00000045016.7	chaperonin containing TCP1, subunit 8 (theta)-like 1 	5	1	0	1	0	0	mmu-miR-378a-5p				-0.39	-0.39	< 0.1
Adh6b	ENSMUST00000090166.4	alcohol dehydrogenase 6B (class V) 	28	1	1	0	0	0	mmu-miR-378a-5p				-0.39	-0.39	< 0.1
Ldlrad3	ENSMUST00000058790.6	low density lipoprotein receptor class A domain containing 3 	313	1	0	1	0	2	mmu-miR-378a-5p				-0.39	-0.39	< 0.1
Aqp3	ENSMUST00000055327.7	aquaporin 3 	17	1	1	0	0	0	mmu-miR-378a-5p				-0.39	-0.39	< 0.1
Smok3c	ENSMUST00000110967.3	sperm motility kinase 3C 	5	1	0	1	0	0	mmu-miR-378a-5p				-0.38	-0.38	< 0.1
Mob3a	ENSMUST00000003438.9	MOB kinase activator 3A 	224	2	1	1	0	1	mmu-miR-378a-5p				-0.38	-0.38	< 0.1
Nudt15	ENSMUST00000043813.1	nudix (nucleoside diphosphate linked moiety X)-type motif 15 	13	2	1	0	1	1	mmu-miR-378a-5p				-0.38	-0.38	< 0.1
Smok2a	ENSMUST00000080647.4	sperm motility kinase 2A 	5	1	0	1	0	0	mmu-miR-378a-5p				-0.38	-0.38	< 0.1
Bmp2	ENSMUST00000028836.6	bone morphogenetic protein 2 	131	2	1	0	1	0	mmu-miR-378a-5p				-0.38	-0.38	< 0.1
Cnksr3	ENSMUST00000015346.6	Cnksr family member 3 	453	3	1	0	2	0	mmu-miR-378a-5p				-0.38	-0.39	< 0.1
Smok3b	ENSMUST00000166206.3	sperm motility kinase 3B 	5	1	0	1	0	0	mmu-miR-378a-5p				-0.38	-0.38	< 0.1
Sectm1a	ENSMUST00000106119.3	secreted and transmembrane 1A 	22	1	1	0	0	0	mmu-miR-378a-5p				-0.37	-0.37	< 0.1
Vav3	ENSMUST00000046864.8	vav 3 oncogene 	265	2	2	0	0	0	mmu-miR-378a-5p				-0.37	-0.37	< 0.1
Zfp691	ENSMUST00000052715.5	zinc finger protein 691 	21	1	1	0	0	1	mmu-miR-378a-5p				-0.37	-0.37	< 0.1
Klhl34	ENSMUST00000087157.4	kelch-like 34 	45	1	1	0	0	0	mmu-miR-378a-5p				-0.37	-0.37	< 0.1
Cdh22	ENSMUST00000065438.7	cadherin 22 	7	1	1	0	0	0	mmu-miR-378a-5p				-0.37	-0.37	< 0.1
Gm7714	ENSMUST00000169154.1	predicted gene 7714 	5	1	0	1	0	0	mmu-miR-378a-5p				-0.37	-0.37	< 0.1
Smok2b	ENSMUST00000162940.2	sperm motility kinase 2B 	5	1	0	1	0	0	mmu-miR-378a-5p				-0.36	-0.36	< 0.1
Gm362	ENSMUST00000105113.2	predicted gene 362 	5	2	0	0	2	0	mmu-miR-378a-5p				-0.36	-0.36	< 0.1
Kdelc2	ENSMUST00000037853.3	KDEL (Lys-Asp-Glu-Leu) containing 2 	463	1	1	0	0	1	mmu-miR-378a-5p				-0.36	-0.36	< 0.1
Tnfrsf17	ENSMUST00000023140.5	tumor necrosis factor receptor superfamily, member 17 	5	1	0	1	0	0	mmu-miR-378a-5p				-0.36	-0.36	< 0.1
Gins3	ENSMUST00000034094.9	GINS complex subunit 3 (Psf3 homolog) 	58	1	1	0	0	0	mmu-miR-378a-5p				-0.36	-0.36	< 0.1
Tchp	ENSMUST00000094441.5	trichoplein, keratin filament binding 	332	2	0	1	1	0	mmu-miR-378a-5p				-0.36	-0.36	< 0.1
Gm10650	ENSMUST00000098625.2	predicted gene 10650 	5	2	0	1	1	0	mmu-miR-378a-5p				-0.36	-0.36	< 0.1
Mtcp1	ENSMUST00000033542.5	mature T cell proliferation 1 	44	1	0	1	0	0	mmu-miR-378a-5p				-0.36	-0.36	< 0.1
Ibtk	ENSMUST00000039213.9	inhibitor of Bruton agammaglobulinemia tyrosine kinase 	96	1	1	0	0	0	mmu-miR-378a-5p				-0.35	-0.35	< 0.1
Tha1	ENSMUST00000033230.7	threonine aldolase 1 	25	1	1	0	0	0	mmu-miR-378a-5p				-0.35	-0.35	< 0.1
Prom1	ENSMUST00000171543.2	prominin 1 	24	1	1	0	0	0	mmu-miR-378a-5p				-0.35	-0.35	< 0.1
Six1	ENSMUST00000050029.7	sine oculis-related homeobox 1 	709	3	1	0	2	2	mmu-miR-378a-5p				-0.35	-0.37	< 0.1
Mms19	ENSMUST00000171561.2	MMS19 (MET18 S. cerevisiae) 	1197	1	1	0	0	1	mmu-miR-378a-5p				-0.35	-0.35	< 0.1
Slc12a2	ENSMUST00000115366.2	solute carrier family 12, member 2 	5851	2	1	0	1	1	mmu-miR-378a-5p				-0.35	-0.35	< 0.1
Mad2l1	ENSMUST00000101343.1	MAD2 mitotic arrest deficient-like 1 	447	2	1	0	1	1	mmu-miR-378a-5p				-0.35	-0.38	< 0.1
Luzp2	ENSMUST00000082373.6	leucine zipper protein 2 	7	3	2	0	1	1	mmu-miR-378a-5p				-0.35	-0.56	< 0.1
Csad	ENSMUST00000023805.1	cysteine sulfinic acid decarboxylase 	142	1	1	0	0	1	mmu-miR-378a-5p				-0.35	-0.35	< 0.1
Hmg20b	ENSMUST00000105323.2	high mobility group 20B 	468	1	1	0	0	0	mmu-miR-378a-5p				-0.35	-0.35	< 0.1
Cdr1	ENSMUST00000166381.1	cerebellar degeneration related antigen 1 	5	4	0	0	4	0	mmu-miR-378a-5p				-0.34	-0.34	< 0.1
Hnrnpa3	ENSMUST00000111962.2	heterogeneous nuclear ribonucleoprotein A3 	57	2	1	1	0	1	mmu-miR-378a-5p				-0.34	-0.41	< 0.1
Arl14	ENSMUST00000183126.1	ADP-ribosylation factor-like 14 	5	1	0	1	0	0	mmu-miR-378a-5p				-0.34	-0.34	< 0.1
Comt	ENSMUST00000165430.2	catechol-O-methyltransferase 	2214	1	1	0	0	0	mmu-miR-378a-5p				-0.34	-0.44	< 0.1
Slc39a6	ENSMUST00000070726.4	solute carrier family 39 (metal ion transporter), member 6 	1895	2	1	1	0	0	mmu-miR-378a-5p				-0.34	-0.36	< 0.1
Tmub2	ENSMUST00000036376.7	transmembrane and ubiquitin-like domain containing 2 	1049	1	1	0	0	0	mmu-miR-378a-5p				-0.34	-0.34	< 0.1
Serinc2	ENSMUST00000122374.2	serine incorporator 2 	82	1	0	1	0	0	mmu-miR-378a-5p				-0.34	-0.34	< 0.1
AB041806	ENSMUST00000062902.6	hypothetical protein, MNCb-2457 	5	2	0	2	0	0	mmu-miR-378a-5p				-0.34	-0.34	< 0.1
Pkig	ENSMUST00000164399.2	protein kinase inhibitor, gamma 	9	1	1	0	0	0	mmu-miR-378a-5p				-0.33	-0.48	< 0.1
Rdh11	ENSMUST00000161204.2	retinol dehydrogenase 11 	1579	2	1	0	1	1	mmu-miR-378a-5p				-0.33	-0.35	< 0.1
Ninj2	ENSMUST00000112711.3	ninjurin 2 	7	1	0	1	0	0	mmu-miR-378a-5p				-0.33	-0.33	< 0.1
Gm15114	ENSMUST00000112788.3	predicted gene 15114 	5	1	0	1	0	0	mmu-miR-378a-5p				-0.33	-0.33	< 0.1
RP23-29K12.9	ENSMUST00000188900.1		5	1	1	0	0	0	mmu-miR-378a-5p				-0.33	-0.33	< 0.1
Gm15091	ENSMUST00000112740.1	predicted gene 15091 	5	1	0	1	0	0	mmu-miR-378a-5p				-0.33	-0.33	< 0.1
Gm10439	ENSMUST00000101181.4	predicted gene 10439 	5	1	0	1	0	0	mmu-miR-378a-5p				-0.33	-0.33	< 0.1
Gm15127	ENSMUST00000101186.4	predicted gene 15127 	5	1	0	1	0	0	mmu-miR-378a-5p				-0.33	-0.33	< 0.1
Gm15097	ENSMUST00000101180.2	predicted gene 15097 	5	1	0	1	0	0	mmu-miR-378a-5p				-0.33	-0.33	< 0.1
Ormdl3	ENSMUST00000052919.7	ORM1-like 3 (S. cerevisiae) 	2923	2	1	1	0	0	mmu-miR-378a-5p				-0.33	-0.33	< 0.1
Bbs9	ENSMUST00000039798.10	Bardet-Biedl syndrome 9 (human) 	153	1	0	1	0	0	mmu-miR-378a-5p				-0.33	-0.33	< 0.1
Mettl20	ENSMUST00000047531.10	methyltransferase like 20 	716	1	0	1	0	0	mmu-miR-378a-5p				-0.33	-0.33	< 0.1
Hist1h2bq	ENSMUST00000091749.2	histone cluster 1, H2bq 	5	1	1	0	0	0	mmu-miR-378a-5p				-0.33	-0.33	< 0.1
Gm15080	ENSMUST00000112804.2	predicted gene 15080 	5	1	0	1	0	0	mmu-miR-378a-5p				-0.33	-0.33	< 0.1
Gm15085	ENSMUST00000178169.1	predicted gene 15085 	5	1	0	1	0	0	mmu-miR-378a-5p				-0.33	-0.33	< 0.1
Ott	ENSMUST00000179348.2	ovary testis transcribed 	5	1	0	1	0	0	mmu-miR-378a-5p				-0.33	-0.33	< 0.1
Dazl	ENSMUST00000010736.7	deleted in azoospermia-like 	10	2	0	2	0	0	mmu-miR-378a-5p				-0.33	-0.33	< 0.1
Gm15093	ENSMUST00000179021.1	predicted gene 15093 	5	1	0	1	0	0	mmu-miR-378a-5p				-0.33	-0.33	< 0.1
Nadk	ENSMUST00000105613.4	NAD kinase 	1254	2	1	1	0	0	mmu-miR-378a-5p				-0.33	-0.45	< 0.1
Atp6v0e	ENSMUST00000015719.9	ATPase, H+ transporting, lysosomal V0 subunit E 	2826	1	0	1	0	1	mmu-miR-378a-5p				-0.33	-0.33	< 0.1
Gm15107	ENSMUST00000112796.1	predicted gene 15107 	5	1	0	1	0	0	mmu-miR-378a-5p				-0.33	-0.33	< 0.1
Gm15128	ENSMUST00000112814.2	predicted gene 15128 	5	1	0	1	0	0	mmu-miR-378a-5p				-0.33	-0.33	< 0.1
Luzp4	ENSMUST00000101185.4	leucine zipper protein 4 	5	1	0	1	0	0	mmu-miR-378a-5p				-0.33	-0.33	< 0.1
Pus10	ENSMUST00000109525.2	pseudouridylate synthase 10 	350	3	0	2	1	1	mmu-miR-378a-5p				-0.32	-0.36	< 0.1
Shb	ENSMUST00000061986.6	src homology 2 domain-containing transforming protein B 	632	1	1	0	0	0	mmu-miR-378a-5p				-0.32	-0.33	< 0.1
Snx22	ENSMUST00000044711.5	sorting nexin 22 	7	2	0	1	1	2	mmu-miR-378a-5p				-0.32	-0.32	< 0.1
Nde1	ENSMUST00000115795.3	nuclear distribution gene E homolog 1 (A nidulans) 	262	1	1	0	0	1	mmu-miR-378a-5p				-0.32	-0.32	< 0.1
Tor1aip2	ENSMUST00000111757.4	torsin A interacting protein 2 	1299	1	1	0	0	0	mmu-miR-378a-5p				-0.32	-0.33	< 0.1
Atrnl1	ENSMUST00000077282.5	attractin like 1 	1141	2	1	0	1	0	mmu-miR-378a-5p				-0.32	-0.32	< 0.1
Hist1h2br	ENSMUST00000110467.1	histone cluster 1 H2br 	5	1	1	0	0	0	mmu-miR-378a-5p				-0.32	-0.32	< 0.1
Fam166a	ENSMUST00000028346.3	family with sequence similarity 166, member A 	5	1	0	1	0	0	mmu-miR-378a-5p				-0.32	-0.32	< 0.1
Trh	ENSMUST00000006046.4	thyrotropin releasing hormone 	9	2	0	0	2	0	mmu-miR-378a-5p				-0.32	-0.32	< 0.1
Rab19	ENSMUST00000031986.4	RAB19, member RAS oncogene family 	40	1	1	0	0	0	mmu-miR-378a-5p				-0.32	-0.32	< 0.1
Ggps1	ENSMUST00000170957.1	geranylgeranyl diphosphate synthase 1 	548	2	1	0	1	0	mmu-miR-378a-5p				-0.32	-0.38	< 0.1
Gm1587	ENSMUST00000100372.3	predicted gene 1587 	0	2	0	1	1	0	mmu-miR-378a-5p				-0.32	-0.32	< 0.1
Odf2	ENSMUST00000046571.8	outer dense fiber of sperm tails 2 	1132	1	1	0	0	0	mmu-miR-378a-5p				-0.32	-0.32	< 0.1
Wipi1	ENSMUST00000103060.4	WD repeat domain, phosphoinositide interacting 1 	1139	1	0	1	0	1	mmu-miR-378a-5p				-0.32	-0.32	< 0.1
2510003E04Rik	ENSMUST00000162525.2	RIKEN cDNA 2510003E04 gene 	226	1	1	0	0	0	mmu-miR-378a-5p				-0.32	-0.32	< 0.1
Gm7120	ENSMUST00000177361.1	predicted gene 7120 	7	2	1	0	1	0	mmu-miR-378a-5p				-0.32	-0.32	< 0.1
Dnajc5	ENSMUST00000072334.6	DnaJ (Hsp40) homolog, subfamily C, member 5 	1852	2	1	1	0	2	mmu-miR-378a-5p				-0.32	-0.40	< 0.1
Clec7a	ENSMUST00000184861.2	C-type lectin domain family 7, member a 	19	3	0	1	2	0	mmu-miR-378a-5p				-0.31	-0.33	< 0.1
Nedd9	ENSMUST00000021794.7	neural precursor cell expressed, developmentally down-regulated gene 9 	1377	1	1	0	0	0	mmu-miR-378a-5p				-0.31	-0.34	< 0.1
Cmtm1	ENSMUST00000160596.2	CKLF-like MARVEL transmembrane domain containing 1 	5	2	0	2	0	0	mmu-miR-378a-5p				-0.31	-0.31	< 0.1
