Target gene	Representative transcript	Gene name	3P-seq tags + 5	Conserved sites total	Conserved 8mer sites	Conserved 7mer-m8 sites	Conserved 7mer-A1 sites	Poorly conserved sites total	Poorly conserved 8mer sites	Poorly conserved 7mer-m8 sites	Poorly conserved 7mer-A1 sites	6mer sites	Representative miRNA	Predicted occupancy (low miRNA)	Predicted occupancy (high miRNA)	Predicted occupancy (transfected miRNA)	Cumulative weighted context++ score	Total context++ score	Aggregate PCT	Previous TargetScan publication(s)
Adrb3	ENSMUST00000081438.4	adrenergic receptor, beta 3 	166	1	0	1	0	0	0	0	0	1	mmu-miR-196b-5p	0.0109	0.0775	0.4493	-0.42	-0.42	0.74	2005, '07, '09, '11
Slc9a6	ENSMUST00000077741.6	solute carrier family 9 (sodium/hydrogen exchanger), member 6 	578	1	1	0	0	1	0	0	1	0	mmu-miR-196a-5p	0.0138	0.0967	0.5242	-0.41	-0.50	0.28	2005, '07, '09, '11
Rgs17	ENSMUST00000131996.2	regulator of G-protein signaling 17 	38	1	0	1	0	1	0	0	1	0	mmu-miR-196a-5p	0.0120	0.0846	0.4803	-0.40	-0.45	0.92	2011
Lcor	ENSMUST00000067795.6	ligand dependent nuclear receptor corepressor 	127	2	0	2	0	1	0	1	0	1	mmu-miR-196a-5p	0.0187	0.1315	0.7296	-0.40	-0.51	0.98	2007
Psmd11	ENSMUST00000017572.8	proteasome (prosome, macropain) 26S subunit, non-ATPase, 11 	847	1	1	0	0	0	0	0	0	0	mmu-miR-196a-5p	0.0113	0.0783	0.3945	-0.40	-0.42	0.32	2009, '11
Rab6b	ENSMUST00000035155.7	RAB6B, member RAS oncogene family 	192	1	0	1	0	1	0	1	0	0	mmu-miR-196b-5p	0.0226	0.1564	0.8118	-0.40	-0.50	0.67	2005, '07, '09, '11
Ednrb	ENSMUST00000022718.4	endothelin receptor type B 	237	1	1	0	0	0	0	0	0	0	mmu-miR-196b-5p	0.0168	0.1141	0.5443	-0.39	-0.40	< 0.1	2007, '09, '11
Hmga1	ENSMUST00000117600.2	high mobility group AT-hook 1 	8	1	0	1	0	0	0	0	0	0	mmu-miR-196a-5p	0.0128	0.0879	0.4390	-0.39	-0.39	0.61	2005, '07, '09, '11
Abcb9	ENSMUST00000031354.5	ATP-binding cassette, sub-family B (MDR/TAP), member 9 	81	1	0	1	0	0	0	0	0	0	mmu-miR-196a-5p	0.0103	0.0716	0.3629	-0.39	-0.39	0.86	2005, '07, '09, '11
Snx16	ENSMUST00000099223.5	sorting nexin 16 	579	1	0	1	0	0	0	0	0	0	mmu-miR-196b-5p	0.0068	0.0486	0.2838	-0.39	-0.40	0.93	2005, '07, '09, '11
Pvrl3	ENSMUST00000023334.9	poliovirus receptor-related 3 	2412	1	0	1	0	0	0	0	0	1	mmu-miR-196a-5p	0.0202	0.1342	0.5791	-0.39	-0.44	0.77	2011
Eps15	ENSMUST00000102729.4	epidermal growth factor receptor pathway substrate 15 	2282	1	1	0	0	0	0	0	0	0	mmu-miR-196a-5p	0.0192	0.1267	0.5251	-0.39	-0.39	< 0.1	2005, '07, '09, '11
Mid2	ENSMUST00000112990.2	midline 2 	384	1	0	1	0	2	0	2	0	0	mmu-miR-196a-5p	0.0196	0.1393	0.8014	-0.38	-0.39	0.38	2009, '11
Pbx1	ENSMUST00000176540.2	pre B cell leukemia homeobox 1 	257	2	1	1	0	0	0	0	0	1	mmu-miR-196a-5p	0.0269	0.1671	0.6086	-0.38	-0.63	0.89	2009, '11
Nras	ENSMUST00000029445.7	neuroblastoma ras oncogene 	1567	1	0	1	0	0	0	0	0	1	mmu-miR-196b-5p	0.0107	0.0756	0.4254	-0.38	-0.39	0.92	2005, '07, '09, '11
Pard6b	ENSMUST00000052125.6	par-6 family cell polarity regulator beta 	1542	1	0	1	0	0	0	0	0	0	mmu-miR-196a-5p	0.0114	0.0788	0.4001	-0.38	-0.38	0.91	2007, '11
Zdhhc21	ENSMUST00000030110.9	zinc finger, DHHC domain containing 21 	885	1	0	1	0	0	0	0	0	2	mmu-miR-196a-5p	0.0178	0.1258	0.7095	-0.38	-0.38	0.70	2005, '07, '09, '11
Riok3	ENSMUST00000025270.6	RIO kinase 3 	6510	1	0	1	0	0	0	0	0	0	mmu-miR-196a-5p	0.0035	0.0255	0.1618	-0.37	-0.37	0.93	2005, '07, '09, '11
Fnip1	ENSMUST00000046835.8	folliculin interacting protein 1 	1794	1	0	1	0	1	0	1	0	0	mmu-miR-196a-5p	0.0126	0.0894	0.5102	-0.37	-0.37	0.76	2007, '09, '11
Yod1	ENSMUST00000049813.5	YOD1 OTU deubiquitinating enzyme 1 homologue (S. cerevisiae) 	447	1	0	1	0	1	0	0	1	1	mmu-miR-196b-5p	0.0110	0.0788	0.4793	-0.37	-0.37	0.93	2007, '09, '11
Ssr1	ENSMUST00000021864.6	signal sequence receptor, alpha 	7566	1	0	1	0	1	0	0	1	0	mmu-miR-196a-5p	0.0126	0.0859	0.3996	-0.37	-0.44	0.85	2005, '07, '09, '11
Epha7	ENSMUST00000029964.6	Eph receptor A7 	41	1	0	1	0	0	0	0	0	0	mmu-miR-196a-5p	0.0159	0.1083	0.5129	-0.36	-0.36	0.77	2005, '07, '09, '11
Lrrc4b	ENSMUST00000058667.9	leucine rich repeat containing 4B 	11	1	0	1	0	0	0	0	0	0	mmu-miR-196a-5p	0.0062	0.0447	0.2790	-0.36	-0.36	0.72	2007, '09, '11
March7	ENSMUST00000102748.5	membrane-associated ring finger (C3HC4) 7 	4024	1	0	1	0	0	0	0	0	0	mmu-miR-196a-5p	0.0100	0.0709	0.4053	-0.36	-0.36	0.58	2007
Hoxb1	ENSMUST00000019117.2	homeobox B1 	5	1	0	1	0	0	0	0	0	0	mmu-miR-196a-5p	0.0089	0.0622	0.3290	-0.36	-0.36	0.82	2011
Map4k3	ENSMUST00000112389.3	mitogen-activated protein kinase kinase kinase kinase 3 	503	1	0	1	0	0	0	0	0	0	mmu-miR-196a-5p	0.0099	0.0690	0.3702	-0.36	-0.37	0.88	2005, '07, '09, '11
Lor	ENSMUST00000058150.7	loricrin 	8	1	0	1	0	0	0	0	0	0	mmu-miR-196a-5p	0.0035	0.0253	0.1626	-0.36	-0.36	0.53	2005, '07, '09, '11
4833424O15Rik	ENSMUST00000106473.3	RIKEN cDNA 4833424O15 gene 	5	1	1	0	0	0	0	0	0	1	mmu-miR-196a-5p	0.0194	0.1306	0.5964	-0.36	-0.36	< 0.1	2007, '09, '11
Zfp354b	ENSMUST00000109124.4	zinc finger protein 354B 	25	1	0	1	0	0	0	0	0	1	mmu-miR-196a-5p	0.0258	0.1646	0.6210	-0.36	-0.39	0.60	2009, '11
Eri2	ENSMUST00000150844.1	exoribonuclease 2 	166	1	1	0	0	0	0	0	0	2	mmu-miR-196b-5p	0.0152	0.1014	0.4592	-0.36	-0.63	< 0.1	NULL
Rspo2	ENSMUST00000063492.6	R-spondin 2 homolog (Xenopus laevis) 	19	1	0	1	0	0	0	0	0	0	mmu-miR-196a-5p	0.0107	0.0740	0.3714	-0.36	-0.36	0.80	2005, '07, '09, '11
Rdx	ENSMUST00000163153.2	radixin 	9130	1	0	1	0	0	0	0	0	1	mmu-miR-196a-5p	0.0127	0.0866	0.4119	-0.36	-0.36	0.83	2005, '07, '09, '11
Lin28a	ENSMUST00000051674.2	lin-28 homolog A (C. elegans) 	1253	1	0	1	0	0	0	0	0	1	mmu-miR-196a-5p	0.0109	0.0766	0.4249	-0.35	-0.35	0.59	2007, '09, '11
Cbfa2t3	ENSMUST00000127984.2	core-binding factor, runt domain, alpha subunit 2, translocated to, 3 (human) 	162	1	0	1	0	0	0	0	0	4	mmu-miR-196a-5p	0.0189	0.1331	0.7507	-0.35	-0.36	0.93	2005, '07, '09, '11
Masp1	ENSMUST00000089883.5	mannan-binding lectin serine peptidase 1 	457	1	0	1	0	0	0	0	0	2	mmu-miR-196a-5p	0.0112	0.0802	0.4844	-0.35	-0.37	0.43	NULL
Larp4	ENSMUST00000057632.9	La ribonucleoprotein domain family, member 4 	11	1	0	1	0	0	0	0	0	1	mmu-miR-196b-5p	0.0170	0.1152	0.5348	-0.35	-0.35	0.82	2005, '07, '09, '11
Ddx19a	ENSMUST00000040416.7	DEAD (Asp-Glu-Ala-Asp) box polypeptide 19a 	387	1	1	0	0	2	0	2	0	1	mmu-miR-196b-5p	0.0080	0.0570	0.3478	-0.35	-0.56	0.20	2005, '07, '09, '11
Dcaf15	ENSMUST00000041367.7	DDB1 and CUL4 associated factor 15 	554	1	0	1	0	0	0	0	0	0	mmu-miR-196a-5p	0.0076	0.0537	0.2956	-0.34	-0.34	0.89	2007, '09, '11
B930094E09Rik	ENSMUST00000164667.1	RIKEN cDNA B930094E09 gene 	24	1	0	1	0	0	0	0	0	0	mmu-miR-196a-5p	0.0044	0.0317	0.1946	-0.34	-0.34	0.86	NULL
Cask	ENSMUST00000115438.4	calcium/calmodulin-dependent serine protein kinase (MAGUK family) 	743	1	1	0	0	0	0	0	0	1	mmu-miR-196b-5p	0.0098	0.0680	0.3549	-0.34	-0.34	0.34	2005, '07, '09, '11
Lrig2	ENSMUST00000046316.6	leucine-rich repeats and immunoglobulin-like domains 2 	154	1	0	1	0	0	0	0	0	1	mmu-miR-196a-5p	0.0089	0.0631	0.3656	-0.34	-0.34	0.94	2007, '09, '11
Erlin2	ENSMUST00000033873.7	ER lipid raft associated 2 	512	1	0	1	0	1	0	1	0	1	mmu-miR-196a-5p	0.0084	0.0607	0.3805	-0.33	-0.36	0.81	2007, '09, '11
Limk2	ENSMUST00000110029.3	LIM motif-containing protein kinase 2 	559	1	0	1	0	0	0	0	0	2	mmu-miR-196b-5p	0.0037	0.0270	0.1776	-0.33	-0.39	0.87	2005, '07, '09, '11
Ccnj	ENSMUST00000025983.7	cyclin J 	116	1	0	1	0	0	0	0	0	0	mmu-miR-196a-5p	0.0123	0.0863	0.4743	-0.32	-0.35	0.91	2005, '07, '09, '11
Pbx3	ENSMUST00000113132.3	pre B cell leukemia homeobox 3 	691	1	0	1	0	0	0	0	0	0	mmu-miR-196a-5p	0.0080	0.0563	0.3058	-0.32	-0.32	0.88	2005, '07, '09, '11
Sfmbt1	ENSMUST00000054230.5	Scm-like with four mbt domains 1 	256	1	0	1	0	2	0	1	1	0	mmu-miR-196a-5p	0.0162	0.1145	0.6400	-0.32	-0.45	0.87	2011
Kcnh7	ENSMUST00000075052.4	potassium voltage-gated channel, subfamily H (eag-related), member 7 	5	1	1	0	0	1	0	1	0	0	mmu-miR-196b-5p	0.0467	0.3009	1.1865	-0.32	-0.32	< 0.1	NULL
Ddx19b	ENSMUST00000040241.9	DEAD (Asp-Glu-Ala-Asp) box polypeptide 19b 	375	1	1	0	0	1	0	0	1	1	mmu-miR-196b-5p	0.0056	0.0404	0.2587	-0.32	-0.34	0.30	2005, '07, '09, '11
Rbms3	ENSMUST00000111773.4	RNA binding motif, single stranded interacting protein 	289	1	0	1	0	1	0	0	1	1	mmu-miR-196a-5p	0.0208	0.1459	0.8050	-0.31	-0.34	0.35	2011
Nr2c2	ENSMUST00000113460.2	nuclear receptor subfamily 2, group C, member 2 	261	1	1	0	0	0	0	0	0	0	mmu-miR-196a-5p	0.0105	0.0725	0.3610	-0.31	-0.33	0.34	2007, '11
Bach1	ENSMUST00000026703.5	BTB and CNC homology 1 	993	1	0	1	0	0	0	0	0	1	mmu-miR-196a-5p	0.0076	0.0543	0.3301	-0.31	-0.31	0.93	2005, '07, '09, '11
Ccm2l	ENSMUST00000109800.1	cerebral cavernous malformation 2-like 	1238	1	0	1	0	0	0	0	0	0	mmu-miR-196a-5p	0.0101	0.0718	0.4298	-0.30	-0.30	0.92	2007, '09, '11
3110057O12Rik	ENSMUST00000159774.2	RIKEN cDNA 3110057O12 gene 	410	1	1	0	0	1	0	0	1	1	mmu-miR-196a-5p	0.0280	0.1719	0.6015	-0.30	-0.41	< 0.1	2009, '11
Katnbl1	ENSMUST00000028552.3	katanin p80 subunit B like 1 	380	1	0	1	0	0	0	0	0	0	mmu-miR-196a-5p	0.0041	0.0297	0.1895	-0.30	-0.31	0.91	2007, '09, '11
Magt1	ENSMUST00000151689.2	magnesium transporter 1 	3001	1	0	1	0	0	0	0	0	0	mmu-miR-196a-5p	0.0144	0.0975	0.4527	-0.30	-0.31	0.66	2007, '09, '11
Uhrf2	ENSMUST00000025739.8	ubiquitin-like, containing PHD and RING finger domains 2 	671	1	0	1	0	0	0	0	0	0	mmu-miR-196a-5p	0.0069	0.0491	0.2763	-0.30	-0.30	0.85	2005, '07, '09, '11
Prdm5	ENSMUST00000172638.1	PR domain containing 5 	50	1	0	1	0	0	0	0	0	1	mmu-miR-196a-5p	0.0098	0.0689	0.3716	-0.30	-0.34	< 0.1	NULL
Plekha8	ENSMUST00000119706.2	pleckstrin homology domain containing, family A (phosphoinositide binding specific) member 8 	269	1	0	1	0	0	0	0	0	1	mmu-miR-196b-5p	0.0159	0.1101	0.5713	-0.29	-0.30	0.88	2011
Foxp2	ENSMUST00000115477.2	forkhead box P2 	105	1	0	1	0	0	0	0	0	3	mmu-miR-196a-5p	0.0146	0.1026	0.5809	-0.29	-0.30	0.88	2009, '11
Gga3	ENSMUST00000019135.8	golgi associated, gamma adaptin ear containing, ARF binding protein 3 	191	1	0	1	0	0	0	0	0	2	mmu-miR-196a-5p	0.0076	0.0550	0.3570	-0.29	-0.30	0.76	2005, '07, '09, '11
Igdcc4	ENSMUST00000077696.7	immunoglobulin superfamily, DCC subclass, member 4 	509	1	0	1	0	0	0	0	0	0	mmu-miR-196a-5p	0.0225	0.1464	0.5881	-0.29	-0.29	0.81	2007, '09, '11
Cdc34	ENSMUST00000020550.6	cell division cycle 34 	269	1	0	1	0	0	0	0	0	0	mmu-miR-196b-5p	0.0067	0.0474	0.2721	-0.29	-0.29	0.33	2007, '09, '11
Diap2	ENSMUST00000113320.2	diaphanous homolog 2 (Drosophila) 	549	1	0	1	0	0	0	0	0	3	mmu-miR-196a-5p	0.0191	0.1358	0.8027	-0.29	-0.29	0.83	2007, '11
Fgf14	ENSMUST00000095529.4	fibroblast growth factor 14 	19	1	0	0	1	1	0	1	0	0	mmu-miR-196a-5p	0.0140	0.0979	0.5299	-0.29	-0.33	0.13	2009, '11
Arhgef38	ENSMUST00000147041.4	Rho guanine nucleotide exchange factor (GEF) 38 	88	1	0	1	0	0	0	0	0	0	mmu-miR-196a-5p	0.0127	0.0901	0.5267	-0.28	-0.28	0.88	NULL
Prlr	ENSMUST00000124470.2	prolactin receptor 	195	2	0	2	0	0	0	0	0	0	mmu-miR-196a-5p	0.0116	0.0826	0.4951	-0.28	-0.33	0.98	2011
Mgat4a	ENSMUST00000151952.2	mannoside acetylglucosaminyltransferase 4, isoenzyme A 	164	1	0	1	0	1	0	0	1	0	mmu-miR-196a-5p	0.0079	0.0572	0.3705	-0.28	-0.28	0.91	2005, '07, '09, '11
Hdac9	ENSMUST00000110819.2	histone deacetylase 9 	21	1	0	1	0	0	0	0	0	0	mmu-miR-196a-5p	0.0122	0.0844	0.4343	-0.28	-0.28	0.58	2005, '07, '09, '11
Cdkn1b	ENSMUST00000067327.5	cyclin-dependent kinase inhibitor 1B 	1367	1	0	1	0	0	0	0	0	0	mmu-miR-196a-5p	0.0055	0.0392	0.2314	-0.28	-0.28	0.83	2005, '07, '09, '11
Smad6	ENSMUST00000041029.5	SMAD family member 6 	511	1	0	0	1	0	0	0	0	0	mmu-miR-196b-5p	0.0067	0.0477	0.2790	-0.28	-0.28	0.13	2005, '07, '09, '11
AU019823	ENSMUST00000131351.2	expressed sequence AU019823 	31	1	0	1	0	0	0	0	0	0	mmu-miR-196b-5p	0.0093	0.0648	0.3411	-0.28	-0.30	0.62	2009, '11
Spred1	ENSMUST00000028829.7	sprouty protein with EVH-1 domain 1, related sequence 	1322	1	1	0	0	0	0	0	0	0	mmu-miR-196a-5p	0.0192	0.1235	0.4794	-0.28	-0.40	< 0.1	NULL
Zmynd11	ENSMUST00000110637.2	zinc finger, MYND domain containing 11 	526	2	0	2	0	0	0	0	0	0	mmu-miR-196b-5p	0.0101	0.0699	0.3591	-0.27	-0.56	0.97	2005, '07, '09, '11
Rbm47	ENSMUST00000113726.2	RNA binding motif protein 47 	667	1	0	1	0	1	0	1	0	0	mmu-miR-196a-5p	0.0110	0.0781	0.4437	-0.27	-0.32	0.88	2007, '09, '11
Dennd6a	ENSMUST00000037585.7	DENN/MADD domain containing 6A 	582	1	0	1	0	0	0	0	0	1	mmu-miR-196a-5p	0.0123	0.0870	0.5005	-0.27	-0.32	0.70	2007, '09, '11
Sorcs1	ENSMUST00000164039.3	VPS10 domain receptor protein SORCS 1 	6	1	0	0	1	0	0	0	0	1	mmu-miR-196a-5p	0.0039	0.0284	0.1958	-0.27	-0.27	< 0.1	2005, '09, '11
Schip1	ENSMUST00000182532.2	schwannomin interacting protein 1 	1132	1	0	1	0	0	0	0	0	0	mmu-miR-196a-5p	0.0027	0.0193	0.1263	-0.27	-0.29	0.78	2005, '07, '09, '11
Hook1	ENSMUST00000030306.8	hook homolog 1 (Drosophila) 	5138	1	0	1	0	0	0	0	0	0	mmu-miR-196a-5p	0.0071	0.0512	0.3183	-0.27	-0.27	0.83	2007, '09, '11
Gtf2a1	ENSMUST00000021345.7	general transcription factor II A, 1 	109	1	1	0	0	0	0	0	0	1	mmu-miR-196a-5p	0.0210	0.1418	0.6655	-0.27	-0.27	0.16	2011
Osmr	ENSMUST00000022746.7	oncostatin M receptor 	339	1	0	1	0	1	0	0	1	0	mmu-miR-196b-5p	0.0094	0.0679	0.4350	-0.27	-0.27	0.78	2005, '07, '09, '11
Cpd	ENSMUST00000021201.5	carboxypeptidase D 	3036	1	0	1	0	1	0	0	1	2	mmu-miR-196b-5p	0.0069	0.0495	0.3157	-0.27	-0.31	0.91	2005, '07, '09, '11
Lrp1b	ENSMUST00000052550.7	low density lipoprotein-related protein 1B (deleted in tumors) 	5	1	1	0	0	0	0	0	0	0	mmu-miR-196a-5p	0.0242	0.1595	0.6859	-0.27	-0.27	0.32	2005, '07
Bloc1s6	ENSMUST00000005954.8	biogenesis of lysosomal organelles complex-1, subunit 6, pallidin 	2753	1	0	1	0	1	0	1	0	1	mmu-miR-196b-5p	0.0037	0.0266	0.1707	-0.26	-0.52	0.73	2007, '09, '11
Erg	ENSMUST00000113846.4	avian erythroblastosis virus E-26 (v-ets) oncogene related 	581	1	0	1	0	0	0	0	0	0	mmu-miR-196a-5p	0.0091	0.0641	0.3656	-0.26	-0.26	0.62	2005, '07, '09, '11
