Target gene	Representative transcript	Gene name	3P-seq tags + 5	Conserved sites total	Conserved 8mer sites	Conserved 7mer-m8 sites	Conserved 7mer-A1 sites	Poorly conserved sites total	Poorly conserved 8mer sites	Poorly conserved 7mer-m8 sites	Poorly conserved 7mer-A1 sites	6mer sites	Representative miRNA	Predicted occupancy (low miRNA)	Predicted occupancy (high miRNA)	Predicted occupancy (transfected miRNA)	Cumulative weighted context++ score	Total context++ score	Aggregate PCT	Previous TargetScan publication(s)
Gna11	ENSMUST00000043604.5	guanine nucleotide binding protein, alpha 11 	507	1	1	0	0	2	2	0	0	0	mmu-miR-142a-3p.1	0.1881	0.9214	2.2033	-0.71	-0.82	< 0.1	2009, '11
Prlr	ENSMUST00000124470.2	prolactin receptor 	195	2	1	1	0	0	0	0	0	2	mmu-miR-142a-3p.1	0.2008	0.9318	2.0144	-0.71	-0.74	0.91	2005, '07, '09, '11
Bod1	ENSMUST00000058060.8	biorientation of chromosomes in cell division 1 	251	2	1	0	1	0	0	0	0	0	mmu-miR-142a-3p.1	0.0618	0.3656	1.1726	-0.71	-0.71	0.89	2007, '09, '11
Cog4	ENSMUST00000034203.11	component of oligomeric golgi complex 4 	1759	1	1	0	0	1	0	1	0	2	mmu-miR-142a-3p.1	0.0557	0.3489	1.2135	-0.68	-0.75	< 0.1	2005, '07, '09, '11
Taok1	ENSMUST00000017435.5	TAO kinase 1 	1659	1	1	0	0	2	0	1	1	1	mmu-miR-142a-3p.1	0.1267	0.7744	2.6838	-0.68	-0.82	0.66	2005, '07, '09, '11
Tsen34	ENSMUST00000108630.2	tRNA splicing endonuclease 34 homolog (S. cerevisiae) 	1319	1	1	0	0	0	0	0	0	0	mmu-miR-142a-3p.1	0.0802	0.3982	0.9056	-0.62	-0.62	< 0.1	2007, '09, '11
Arhgap35	ENSMUST00000075845.5	Rho GTPase activating protein 35 	152	2	2	0	0	2	0	1	1	0	mmu-miR-142a-3p.1	0.1881	0.8861	2.0561	-0.62	-0.62	0.57	2007, '09, '11
Tmem55b	ENSMUST00000160835.2	transmembrane protein 55b 	1409	1	1	0	0	0	0	0	0	0	mmu-miR-142a-3p.1	0.1494	0.5648	0.9056	-0.60	-0.60	0.11	2005, '07, '09, '11
Fyco1	ENSMUST00000167595.3	FYVE and coiled-coil domain containing 1 	716	1	0	1	0	2	1	1	0	0	mmu-miR-142a-3p.1	0.2120	1.0372	2.5302	-0.60	-0.63	0.79	2005, '07, '09, '11
Dirc2	ENSMUST00000023554.8	disrupted in renal carcinoma 2 (human) 	1525	1	1	0	0	0	0	0	0	0	mmu-miR-142a-3p.1	0.0485	0.2733	0.7327	-0.58	-0.58	0.84	2005, '07, '09, '11
Itga8	ENSMUST00000028106.5	integrin alpha 8 	268	1	0	1	0	1	1	0	0	1	mmu-miR-142a-3p.1	0.1847	0.8448	2.0862	-0.57	-0.57	0.76	2009, '11
Tardbp	ENSMUST00000084125.4	TAR DNA binding protein 	1933	1	1	0	0	1	0	1	0	0	mmu-miR-142a-3p.1	0.1049	0.5361	1.4345	-0.56	-0.61	0.71	2005, '07, '11
Slc37a3	ENSMUST00000090243.4	solute carrier family 37 (glycerol-3-phosphate transporter), member 3 	452	1	1	0	0	0	0	0	0	0	mmu-miR-142a-3p.1	0.0922	0.4458	1.0383	-0.56	-0.56	0.69	2005, '07, '09, '11
Rras	ENSMUST00000044111.7	Harvey rat sarcoma oncogene, subgroup R 	723	1	1	0	0	0	0	0	0	0	mmu-miR-142a-3p.1	0.0160	0.1070	0.4673	-0.55	-0.56	0.57	2005, '07, '09, '11
AW549877	ENSMUST00000046633.8	expressed sequence AW549877 	790	1	1	0	0	0	0	0	0	2	mmu-miR-142a-3p.1	0.0911	0.4628	1.2397	-0.55	-0.59	0.70	2009, '11
Tmem59	ENSMUST00000030361.5	transmembrane protein 59 	16596	1	1	0	0	0	0	0	0	0	mmu-miR-142a-3p.1	0.0507	0.2727	0.6697	-0.54	-0.64	< 0.1	2005, '07, '09, '11
Kdelr2	ENSMUST00000110731.2	KDEL (Lys-Asp-Glu-Leu) endoplasmic reticulum protein retention receptor 2 	23290	1	1	0	0	1	0	0	1	0	mmu-miR-142a-3p.1	0.0447	0.2832	1.0299	-0.54	-0.65	0.57	2011
Stx12	ENSMUST00000030698.4	syntaxin 12 	1629	1	1	0	0	0	0	0	0	0	mmu-miR-142a-3p.1	0.0305	0.1924	0.7059	-0.53	-0.54	0.82	2005, '07, '09, '11
Rheb	ENSMUST00000030787.8	Ras homolog enriched in brain 	6916	1	0	1	0	0	0	0	0	0	mmu-miR-142a-3p.1	0.0512	0.2851	0.7461	-0.53	-0.53	0.86	2005, '07, '09, '11
Tmem200b	ENSMUST00000094666.3	transmembrane protein 200B 	383	1	1	0	0	0	0	0	0	1	mmu-miR-142a-3p.1	0.1272	0.5359	1.0579	-0.53	-0.54	0.58	2007
Cyb5r3	ENSMUST00000018186.10	cytochrome b5 reductase 3 	22851	1	1	0	0	0	0	0	0	0	mmu-miR-142a-3p.1	0.1372	0.5396	0.8947	-0.52	-0.53	0.52	2005, '07, '09, '11
Apc	ENSMUST00000115781.4	adenomatosis polyposis coli 	1914	1	1	0	0	0	0	0	0	1	mmu-miR-142a-3p.1	0.1612	0.6720	1.5989	-0.50	-0.50	0.78	2005, '07, '09, '11
Rac1	ENSMUST00000080537.8	RAS-related C3 botulinum substrate 1 	454	1	1	0	0	0	0	0	0	0	mmu-miR-142a-3p.1	0.0436	0.2459	0.6621	-0.50	-0.57	0.77	2005, '07, '09, '11
Ehf	ENSMUST00000090475.4	ets homologous factor 	151	1	1	0	0	0	0	0	0	0	mmu-miR-142a-3p.1	0.0910	0.4394	0.9988	-0.50	-0.50	0.52	2005, '07, '09, '11
Fmnl2	ENSMUST00000049483.7	formin-like 2 	307	1	0	1	0	1	0	0	1	0	mmu-miR-142a-3p.1	0.0788	0.4319	1.2720	-0.50	-0.55	0.69	2005, '07, '09, '11
Atp2a2	ENSMUST00000177974.2	ATPase, Ca++ transporting, cardiac muscle, slow twitch 2 	25988	1	1	0	0	0	0	0	0	0	mmu-miR-142a-3p.1	0.1119	0.4751	0.8469	-0.49	-0.52	0.37	2009, '11
Dcun1d4	ENSMUST00000063882.6	DCN1, defective in cullin neddylation 1, domain containing 4 (S. cerevisiae) 	353	1	1	0	0	0	0	0	0	0	mmu-miR-142a-3p.1	0.0472	0.2744	0.8286	-0.49	-0.49	0.84	2007, '09, '11
Hgs	ENSMUST00000106205.2	HGF-regulated tyrosine kinase substrate 	275	1	1	0	0	0	0	0	0	0	mmu-miR-142a-3p.1	0.1814	0.6209	0.9237	-0.49	-0.49	< 0.1	2007, '09, '11
Emc8	ENSMUST00000181950.1	ER membrane protein complex subunit 8 	2221	1	1	0	0	0	0	0	0	1	mmu-miR-142a-3p.1	0.0330	0.2034	0.6889	-0.49	-0.51	< 0.1	2007, '09, '11
Rgl2	ENSMUST00000047503.10	ral guanine nucleotide dissociation stimulator-like 2 	1230	1	0	1	0	0	0	0	0	0	mmu-miR-142a-3p.1	0.0674	0.3543	0.8799	-0.49	-0.49	0.55	2005, '07, '09, '11
Rab2a	ENSMUST00000060232.7	RAB2A, member RAS oncogene family 	3854	1	1	0	0	1	1	0	0	0	mmu-miR-142a-3p.1	0.0808	0.3977	0.8516	-0.48	-1.13	0.86	2007, '09, '11
Zfp217	ENSMUST00000063710.7	zinc finger protein 217 	431	1	1	0	0	0	0	0	0	0	mmu-miR-142a-3p.1	0.0936	0.4345	0.8701	-0.48	-0.48	0.62	2009, '11
Ppp1r37	ENSMUST00000058444.8	protein phosphatase 1, regulatory subunit 37 	715	1	1	0	0	1	0	0	1	0	mmu-miR-142a-3p.1	0.0802	0.4072	1.0029	-0.48	-0.48	0.59	2009, '11
Marcks	ENSMUST00000092584.5	myristoylated alanine rich protein kinase C substrate 	2557	1	1	0	0	0	0	0	0	0	mmu-miR-142a-3p.1	0.0475	0.2760	0.8383	-0.48	-0.48	0.78	2005, '07, '09, '11
Trpc5	ENSMUST00000040184.3	transient receptor potential cation channel, subfamily C, member 5 	5	1	1	0	0	0	0	0	0	0	mmu-miR-142a-3p.1	0.0902	0.4250	0.8703	-0.46	-0.46	0.29	2007, '09, '11
Rlf	ENSMUST00000168615.2	rearranged L-myc fusion sequence 	806	1	1	0	0	0	0	0	0	0	mmu-miR-142a-3p.1	0.0401	0.2367	0.7405	-0.45	-0.51	0.84	2005, '07, '09, '11
Rab14	ENSMUST00000113025.1	RAB14, member RAS oncogene family 	6563	1	1	0	0	0	0	0	0	0	mmu-miR-142a-3p.1	0.1094	0.4793	1.0368	-0.45	-0.52	0.47	2005, '07, '09, '11
Morf4l2	ENSMUST00000113097.2	mortality factor 4 like 2 	5	1	1	0	0	0	0	0	0	0	mmu-miR-142a-3p.1	0.0263	0.1663	0.5957	-0.45	-0.45	0.40	2005, '07, '09, '11
Spns1	ENSMUST00000119754.2	spinster homolog 1 	446	1	1	0	0	0	0	0	0	0	mmu-miR-142a-3p.1	0.0316	0.1948	0.6496	-0.45	-0.45	0.37	2007, '09, '11
Ash1l	ENSMUST00000186583.1	ash1 (absent, small, or homeotic)-like (Drosophila) 	678	3	0	2	1	1	0	0	1	0	mmu-miR-142a-3p.1	0.1201	0.7698	3.1023	-0.45	-0.45	0.77	2007, '09, '11
Foxo4	ENSMUST00000062000.4	forkhead box O4 	725	1	1	0	0	0	0	0	0	0	mmu-miR-142a-3p.1	0.1354	0.5364	0.8953	-0.45	-0.45	0.72	2007, '11
Cisd2	ENSMUST00000029815.7	CDGSH iron sulfur domain 2 	779	1	0	1	0	0	0	0	0	0	mmu-miR-142a-3p.1	0.0288	0.1794	0.6161	-0.45	-0.45	0.77	2007, '09, '11
Epn1	ENSMUST00000098845.4	epsin 1 	3589	1	1	0	0	0	0	0	0	0	mmu-miR-142a-3p.1	0.0224	0.1454	0.5706	-0.44	-0.44	0.57	2007, '09, '11
Slc24a4	ENSMUST00000079020.5	solute carrier family 24 (sodium/potassium/calcium exchanger), member 4 	97	2	2	0	0	2	0	1	1	0	mmu-miR-142a-3p.1	0.1314	0.7198	1.9643	-0.44	-0.49	< 0.1	2007
Suco	ENSMUST00000048377.5	SUN domain containing ossification factor 	909	1	1	0	0	0	0	0	0	0	mmu-miR-142a-3p.1	0.1090	0.5178	1.2928	-0.44	-0.44	0.85	2007, '11
Pde4b	ENSMUST00000106908.3	phosphodiesterase 4B, cAMP specific 	2029	1	1	0	0	0	0	0	0	0	mmu-miR-142a-3p.1	0.0838	0.4022	0.8418	-0.44	-0.45	0.76	2007, '09, '11
Aff2	ENSMUST00000033532.6	AF4/FMR2 family, member 2 	24	1	1	0	0	1	1	0	0	0	mmu-miR-142a-3p.1	0.0566	0.3712	1.5999	-0.44	-0.50	0.73	2005, '07, '09, '11
Strn3	ENSMUST00000013130.9	striatin, calmodulin binding protein 3 	4069	2	2	0	0	0	0	0	0	0	mmu-miR-142a-3p.1	0.0379	0.2530	1.1343	-0.44	-0.95	0.95	2005, '07, '09, '11
Clta	ENSMUST00000107846.4	clathrin, light polypeptide (Lca) 	16284	1	0	1	0	0	0	0	0	1	mmu-miR-142a-3p.1	0.0361	0.2168	0.6720	-0.44	-0.46	0.86	2005, '07, '09, '11
Nkx2-3	ENSMUST00000057178.10	NK2 homeobox 3 	6	1	1	0	0	0	0	0	0	0	mmu-miR-142a-3p.1	0.0269	0.1698	0.6018	-0.44	-0.44	0.69	2007, '09, '11
Rock2	ENSMUST00000020904.6	Rho-associated coiled-coil containing protein kinase 2 	1341	1	1	0	0	1	0	0	1	0	mmu-miR-142a-3p.1	0.0985	0.4626	1.0307	-0.44	-0.44	0.85	2005, '07, '09, '11
Inpp5a	ENSMUST00000106098.2	inositol polyphosphate-5-phosphatase A 	2438	1	1	0	0	0	0	0	0	0	mmu-miR-142a-3p.1	0.0804	0.3889	0.8171	-0.43	-0.45	0.70	2005, '07, '09, '11
Tgfbr1	ENSMUST00000007757.9	transforming growth factor, beta receptor I 	1724	1	1	0	0	0	0	0	0	1	mmu-miR-142a-3p.1	0.1228	0.5196	1.0264	-0.43	-0.44	0.84	2007, '09, '11
Vamp3	ENSMUST00000030797.3	vesicle-associated membrane protein 3 	73	1	0	1	0	0	0	0	0	2	mmu-miR-142a-3p.1	0.0350	0.2312	0.9700	-0.43	-0.46	0.82	2005, '07, '09, '11
Twf1	ENSMUST00000023087.7	twinfilin, actin-binding protein, homolog 1 (Drosophila) 	451	1	1	0	0	0	0	0	0	1	mmu-miR-142a-3p.1	0.0647	0.3461	0.9550	-0.43	-0.48	0.72	2007, '09, '11
Kat2b	ENSMUST00000000724.9	K(lysine) acetyltransferase 2B 	12	1	1	0	0	0	0	0	0	0	mmu-miR-142a-3p.1	0.0873	0.4203	0.9143	-0.42	-0.42	0.55	2007, '09, '11
Stau1	ENSMUST00000049412.6	staufen (RNA binding protein) homolog 1 (Drosophila) 	1671	1	1	0	0	0	0	0	0	0	mmu-miR-142a-3p.1	0.0308	0.1970	0.7797	-0.42	-0.46	0.80	2007, '09, '11
Akt1s1	ENSMUST00000054343.9	AKT1 substrate 1 (proline-rich) 	1329	1	0	1	0	0	0	0	0	0	mmu-miR-142a-3p.1	0.0440	0.2536	0.7152	-0.42	-0.42	0.62	2005, '07, '09, '11
Stam	ENSMUST00000102960.5	signal transducing adaptor molecule (SH3 domain and ITAM motif) 1 	533	1	1	0	0	0	0	0	0	1	mmu-miR-142a-3p.1	0.1047	0.4426	0.8588	-0.42	-0.61	0.86	2005, '07, '09, '11
Pgm2	ENSMUST00000058351.10	phosphoglucomutase 2 	9153	1	1	0	0	0	0	0	0	0	mmu-miR-142a-3p.1	0.0556	0.3012	0.7494	-0.42	-0.43	< 0.1	2009, '11
Rictor	ENSMUST00000061656.6	RPTOR independent companion of MTOR, complex 2 	898	2	0	2	0	0	0	0	0	0	mmu-miR-142a-3p.1	0.1333	0.7421	2.2459	-0.42	-0.43	0.87	2007, '09, '11
Ank3	ENSMUST00000182884.2	ankyrin 3, epithelial 	1269	1	1	0	0	0	0	0	0	0	mmu-miR-142a-3p.1	0.1512	0.6315	1.4535	-0.42	-0.45	0.80	2005, '07, '09, '11
Stam2	ENSMUST00000102759.2	signal transducing adaptor molecule (SH3 domain and ITAM motif) 2 	828	1	0	1	0	1	1	0	0	0	mmu-miR-142a-3p.1	0.0378	0.2443	0.9410	-0.42	-0.50	0.24	2007, '09, '11
Baz1a	ENSMUST00000038926.7	bromodomain adjacent to zinc finger domain 1A 	437	1	1	0	0	0	0	0	0	0	mmu-miR-142a-3p.1	0.0609	0.3264	0.8163	-0.42	-0.42	0.86	2005, '07, '09, '11
Hectd1	ENSMUST00000179265.2	HECT domain containing 1 	788	1	1	0	0	0	0	0	0	1	mmu-miR-142a-3p.1	0.1264	0.5416	1.1275	-0.42	-0.42	0.79	2005, '07, '09, '11
Zbtb20	ENSMUST00000114694.3	zinc finger and BTB domain containing 20 	293	2	1	0	1	2	0	0	2	4	mmu-miR-142a-3p.1	0.1437	0.7923	3.0719	-0.41	-0.46	0.96	NULL
Lcor	ENSMUST00000067795.6	ligand dependent nuclear receptor corepressor 	127	3	0	2	1	0	0	0	0	2	mmu-miR-142a-3p.1	0.0571	0.3896	1.9156	-0.41	-0.53	0.97	2007
Tab2	ENSMUST00000146444.2	TGF-beta activated kinase 1/MAP3K7 binding protein 2 	1196	1	1	0	0	0	0	0	0	0	mmu-miR-142a-3p.1	0.0824	0.3987	0.8305	-0.41	-0.41	0.78	2007, '09, '11
Gnb2	ENSMUST00000031726.9	guanine nucleotide binding protein (G protein), beta 2 	704	1	1	0	0	0	0	0	0	0	mmu-miR-142a-3p.1	0.0289	0.1804	0.6193	-0.41	-0.41	0.54	2005, '07, '09, '11
Lrrc1	ENSMUST00000183873.2	leucine rich repeat containing 1 	556	1	0	1	0	0	0	0	0	0	mmu-miR-142a-3p.1	0.0780	0.3857	0.8342	-0.41	-0.41	0.69	2005, '07, '09, '11
FMN1	ENSMUST00000081349.7	formin 1 (Fmn1), transcript variant 4, mRNA 	178	1	0	1	0	2	2	0	0	1	mmu-miR-142a-3p.1	0.1044	0.6123	1.9613	-0.41	-0.51	0.13	NULL
Ankrd11	ENSMUST00000098334.6	ankyrin repeat domain 11 	15	1	1	0	0	0	0	0	0	0	mmu-miR-142a-3p.1	0.1154	0.4971	0.9450	-0.40	-0.40	0.84	2005, '07, '09
Tnfrsf13c	ENSMUST00000089161.3	tumor necrosis factor receptor superfamily, member 13c 	14	1	1	0	0	1	1	0	0	0	mmu-miR-142a-3p.1	0.0678	0.3797	1.0282	-0.40	-0.48	0.13	2007, '09, '11
S1pr3	ENSMUST00000087978.3	sphingosine-1-phosphate receptor 3 	579	1	1	0	0	0	0	0	0	0	mmu-miR-142a-3p.1	0.0508	0.2968	0.9288	-0.40	-0.40	0.42	2007, '09, '11
Copg1	ENSMUST00000113607.4	coatomer protein complex, subunit gamma 1 	4417	1	0	1	0	0	0	0	0	0	mmu-miR-142a-3p.1	0.0477	0.2702	0.7354	-0.40	-0.40	0.77	2007, '09, '11
Utrn	ENSMUST00000076817.4	utrophin 	3257	1	1	0	0	0	0	0	0	0	mmu-miR-142a-3p.1	0.1257	0.5187	0.9433	-0.39	-0.40	0.79	2007, '09, '11
Six5	ENSMUST00000049454.5	sine oculis-related homeobox 5 	303	1	1	0	0	0	0	0	0	0	mmu-miR-142a-3p.1	0.0312	0.2006	0.8020	-0.39	-0.40	0.52	2005, '07, '09, '11
Itgav	ENSMUST00000028499.5	integrin alpha V 	6050	1	1	0	0	0	0	0	0	0	mmu-miR-142a-3p.1	0.1148	0.4974	0.9624	-0.39	-0.39	0.80	2005, '07, '09, '11
Cpeb2	ENSMUST00000169035.2	cytoplasmic polyadenylation element binding protein 2 	1473	1	1	0	0	0	0	0	0	0	mmu-miR-142a-3p.1	0.1001	0.4685	1.0405	-0.39	-0.39	0.76	2005, '07, '09, '11
3110043O21Rik	ENSMUST00000084724.4	RIKEN cDNA 3110043O21 gene 	809	1	1	0	0	0	0	0	0	0	mmu-miR-142a-3p.1	0.0387	0.2351	0.7932	-0.38	-0.38	0.80	2009, '11
Mmd	ENSMUST00000004050.6	monocyte to macrophage differentiation-associated 	7036	1	0	1	0	0	0	0	0	0	mmu-miR-142a-3p.1	0.0610	0.3445	1.0195	-0.38	-0.39	0.75	2005, '07, '09, '11
Tnks	ENSMUST00000033929.4	tankyrase, TRF1-interacting ankyrin-related ADP-ribose polymerase 	1143	1	1	0	0	1	0	0	1	0	mmu-miR-142a-3p.1	0.0977	0.4961	1.2433	-0.38	-0.40	0.69	2007, '09, '11
Crk	ENSMUST00000108425.2	v-crk sarcoma virus CT10 oncogene homolog (avian) 	2790	1	0	1	0	2	0	2	0	0	mmu-miR-142a-3p.1	0.0430	0.2817	1.2421	-0.38	-0.82	0.83	2005, '07, '09, '11
Fkbp1a	ENSMUST00000044011.6	FK506 binding protein 1a 	115	1	1	0	0	1	0	0	1	0	mmu-miR-142a-3p.1	0.0206	0.1392	0.6445	-0.38	-0.58	0.63	2005, '07, '09, '11
Pum1	ENSMUST00000030315.7	pumilio RNA-binding family member 1 	3526	1	1	0	0	0	0	0	0	0	mmu-miR-142a-3p.1	0.0692	0.3602	0.8808	-0.38	-0.38	0.76	2005, '07, '11
Fmn1	ENSMUST00000099576.3	formin 1 	183	1	0	1	0	2	2	0	0	1	mmu-miR-142a-3p.1	0.1045	0.6115	1.9400	-0.37	-0.46	0.13	2009, '11
Cask	ENSMUST00000115438.4	calcium/calmodulin-dependent serine protein kinase (MAGUK family) 	743	1	1	0	0	0	0	0	0	0	mmu-miR-142a-3p.1	0.0516	0.2996	0.9693	-0.37	-0.41	0.85	2009, '11
Tfg	ENSMUST00000065515.8	Trk-fused gene 	86	1	0	1	0	0	0	0	0	0	mmu-miR-142a-3p.1	0.0375	0.2201	0.6480	-0.37	-0.40	0.67	2005, '07, '09, '11
Atxn1l	ENSMUST00000093162.3	ataxin 1-like 	808	1	1	0	0	0	0	0	0	0	mmu-miR-142a-3p.1	0.1189	0.5175	1.0814	-0.37	-0.37	0.81	2009, '11
Pcgf3	ENSMUST00000046975.6	polycomb group ring finger 3 	636	1	0	1	0	0	0	0	0	1	mmu-miR-142a-3p.1	0.0330	0.2241	1.0534	-0.36	-0.48	0.85	2005, '07, '09, '11
Fbxo3	ENSMUST00000111136.2	F-box protein 3 	2493	1	1	0	0	0	0	0	0	0	mmu-miR-142a-3p.1	0.0464	0.2742	0.8861	-0.36	-0.37	0.13	2005, '07, '09, '11
Zeb2	ENSMUST00000068415.5	zinc finger E-box binding homeobox 2 	1218	3	1	0	2	1	0	0	1	1	mmu-miR-142a-3p.1	0.0628	0.3696	1.3666	-0.36	-0.61	0.84	2007, '09, '11
Tiparp	ENSMUST00000047906.4	TCDD-inducible poly(ADP-ribose) polymerase 	182	1	0	1	0	0	0	0	0	0	mmu-miR-142a-3p.1	0.0528	0.2931	0.7692	-0.36	-0.36	0.75	2005, '07, '09, '11
Ppp1r10	ENSMUST00000087211.3	protein phosphatase 1, regulatory subunit 10 	13	1	1	0	0	0	0	0	0	0	mmu-miR-142a-3p.1	0.0794	0.3892	0.8248	-0.36	-0.36	0.69	2005, '07, '11
Sgk1	ENSMUST00000020145.6	serum/glucocorticoid regulated kinase 1 	5205	1	1	0	0	0	0	0	0	0	mmu-miR-142a-3p.1	0.0145	0.1003	0.5107	-0.36	-0.36	0.49	2007, '09, '11
Hmg20b	ENSMUST00000105323.2	high mobility group 20B 	468	1	1	0	0	0	0	0	0	0	mmu-miR-142a-3p.1	0.0325	0.1991	0.6559	-0.36	-0.36	< 0.1	2007, '09, '11
Snx16	ENSMUST00000099223.5	sorting nexin 16 	579	1	0	1	0	0	0	0	0	1	mmu-miR-142a-3p.1	0.0322	0.2032	0.7609	-0.35	-0.38	0.81	2005, '07, '09, '11
8030462N17Rik	ENSMUST00000074653.4	RIKEN cDNA 8030462N17 gene 	353	1	0	1	0	0	0	0	0	0	mmu-miR-142a-3p.1	0.0715	0.3663	0.9299	-0.35	-0.40	0.82	NULL
Rarg	ENSMUST00000043172.9	retinoic acid receptor, gamma 	130	1	1	0	0	0	0	0	0	0	mmu-miR-142a-3p.1	0.0692	0.3528	0.8278	-0.35	-0.37	0.85	2005, '07, '09, '11
Ier3	ENSMUST00000003635.6	immediate early response 3 	2503	1	0	1	0	0	0	0	0	0	mmu-miR-142a-3p.1	0.0274	0.1722	0.6059	-0.34	-0.34	0.63	2007, '09, '11
Eml4	ENSMUST00000096766.5	echinoderm microtubule associated protein like 4 	126	2	0	2	0	0	0	0	0	1	mmu-miR-142a-3p.1	0.0475	0.3089	1.2460	-0.34	-0.36	0.58	2005, '07, '09, '11
Cttn	ENSMUST00000033407.7	cortactin 	250	1	1	0	0	0	0	0	0	0	mmu-miR-142a-3p.1	0.0236	0.1521	0.5785	-0.34	-0.34	0.70	2007, '09, '11
Zfp644	ENSMUST00000112696.2	zinc finger protein 644 	601	1	0	0	1	1	1	0	0	0	mmu-miR-142a-3p.1	0.0305	0.2081	1.1686	-0.34	-0.80	0.83	2009, '11
Crtam	ENSMUST00000180872.2	cytotoxic and regulatory T cell molecule 	19	1	0	1	0	0	0	0	0	0	mmu-miR-142a-3p.1	0.0139	0.0949	0.4446	-0.34	-0.34	0.72	2005, '07, '09, '11
Zfp748	ENSMUST00000181892.2	zinc finger protein 748 	278	1	1	0	0	0	0	0	0	0	mmu-miR-142a-3p.1	0.0978	0.4618	1.0270	-0.34	-0.34	< 0.1	2009, '11
Vangl1	ENSMUST00000029453.7	vang-like 1 (van gogh, Drosophila) 	140	1	1	0	0	1	0	1	0	1	mmu-miR-142a-3p.1	0.1099	0.5419	1.3879	-0.34	-0.48	< 0.1	2005, '07, '11
Mgat4a	ENSMUST00000151952.2	mannoside acetylglucosaminyltransferase 4, isoenzyme A 	164	1	0	1	0	1	0	1	0	0	mmu-miR-142a-3p.1	0.0752	0.4325	1.3316	-0.34	-0.34	0.77	2005, '07, '09, '11
Mlxip	ENSMUST00000068237.6	MLX interacting protein 	256	1	1	0	0	0	0	0	0	0	mmu-miR-142a-3p.1	0.0820	0.3834	0.7633	-0.34	-0.38	0.85	2009, '11
Slco4c1	ENSMUST00000071985.5	solute carrier organic anion transporter family, member 4C1 	253	1	0	1	0	0	0	0	0	1	mmu-miR-142a-3p.1	0.0476	0.2916	1.0761	-0.34	-0.34	0.66	2005, '07
Arl15	ENSMUST00000091201.6	ADP-ribosylation factor-like 15 	834	1	0	1	0	0	0	0	0	0	mmu-miR-142a-3p.1	0.0318	0.1951	0.6417	-0.34	-0.34	0.53	2007, '09, '11
Kdm6a	ENSMUST00000044484.7	lysine (K)-specific demethylase 6A 	529	1	0	1	0	0	0	0	0	0	mmu-miR-142a-3p.1	0.0523	0.2946	0.8611	-0.33	-0.37	0.76	2007
