Target gene	Representative transcript	Gene name	3P-seq tags + 5	Conserved sites total	Conserved 8mer sites	Conserved 7mer-m8 sites	Conserved 7mer-A1 sites	Poorly conserved sites total	Poorly conserved 8mer sites	Poorly conserved 7mer-m8 sites	Poorly conserved 7mer-A1 sites	6mer sites	Representative miRNA	Predicted occupancy (low miRNA)	Predicted occupancy (high miRNA)	Predicted occupancy (transfected miRNA)	Cumulative weighted context++ score	Total context++ score	Aggregate PCT	Previous TargetScan publication(s)
Caap1	ENSMUST00000030313.8	caspase activity and apoptosis inhibitor 1 	253	1	1	0	0	0	0	0	0	0	mmu-miR-1a-3p	0.0650	0.3389	0.8094	-0.53	-0.55	0.33	2007, '09, '11
Hnrnpu	ENSMUST00000037748.8	heterogeneous nuclear ribonucleoprotein U 	31081	1	1	0	0	0	0	0	0	0	mmu-miR-1a-3p	0.0521	0.2871	0.7446	-0.53	-0.55	0.93	2007, '09, '11
Tmem243	ENSMUST00000115365.1	transmembrane protein 243, mitochondrial 	1050	1	1	0	0	0	0	0	0	0	mmu-miR-1a-3p	0.0206	0.1347	0.5339	-0.52	-0.53	0.60	2007, '09, '11
Gnpda2	ENSMUST00000031117.7	glucosamine-6-phosphate deaminase 2 	294	1	1	0	0	0	0	0	0	1	mmu-miR-1a-3p	0.0392	0.2320	0.6971	-0.52	-0.54	0.91	2005, '07, '09, '11
D6Wsu163e	ENSMUST00000032497.3	DNA segment, Chr 6, Wayne State University 163, expressed 	490	1	1	0	0	1	0	1	0	1	mmu-miR-1a-3p	0.0502	0.2829	0.7699	-0.51	-0.67	0.48	2009, '11
Mon2	ENSMUST00000073792.4	MON2 homolog (yeast) 	2395	1	1	0	0	0	0	0	0	0	mmu-miR-1a-3p	0.1073	0.4948	1.1266	-0.51	-0.53	0.93	2007, '11
Abhd2	ENSMUST00000037315.7	abhydrolase domain containing 2 	633	1	0	1	0	4	0	2	2	0	mmu-miR-1a-3p	0.0823	0.5337	2.2550	-0.50	-0.60	0.87	2005, '07, '09, '11
Dgke	ENSMUST00000107894.2	diacylglycerol kinase, epsilon 	182	1	0	1	0	2	1	0	1	0	mmu-miR-206-3p	0.0861	0.5248	1.8239	-0.49	-0.61	0.41	2009, '11
Mal2	ENSMUST00000025356.2	mal, T cell differentiation protein 2 	681	1	1	0	0	0	0	0	0	0	mmu-miR-206-3p	0.0553	0.3016	0.7597	-0.49	-0.49	0.18	2005, '07, '09, '11
Elof1	ENSMUST00000166335.1	elongation factor 1 homolog (ELF1, S. cerevisiae) 	1879	1	1	0	0	0	0	0	0	1	mmu-miR-206-3p	0.0207	0.1352	0.5406	-0.49	-0.51	0.61	2005, '07, '09, '11
Snx2	ENSMUST00000037850.5	sorting nexin 2 	3943	1	0	1	0	0	0	0	0	0	mmu-miR-206-3p	0.0783	0.3881	0.8542	-0.49	-0.49	0.85	2005, '07, '09, '11
Pax3	ENSMUST00000087086.6	paired box 3 	5	2	0	2	0	0	0	0	0	0	mmu-miR-206-3p	0.0691	0.4233	1.4427	-0.48	-0.48	0.85	2005, '07, '11
Tpm3-rs7	ENSMUST00000072359.6	tropomyosin 3, related sequence 7 	9	1	1	0	0	0	0	0	0	1	mmu-miR-1a-3p	0.0598	0.3224	0.8148	-0.48	-0.48	0.74	NULL
Tyw3	ENSMUST00000170461.2	tRNA-yW synthesizing protein 3 homolog (S. cerevisiae) 	341	1	1	0	0	0	0	0	0	0	mmu-miR-1a-3p	0.0325	0.1997	0.6631	-0.48	-0.48	< 0.1	NULL
Timp3	ENSMUST00000020234.8	tissue inhibitor of metalloproteinase 3 	10779	2	1	0	1	0	0	0	0	1	mmu-miR-1a-3p	0.0399	0.2666	1.1686	-0.48	-0.52	0.97	2005, '07, '09, '11
Gpr6	ENSMUST00000061796.6	G protein-coupled receptor 6 	5	1	1	0	0	0	0	0	0	0	mmu-miR-206-3p	0.0283	0.1770	0.6137	-0.48	-0.48	0.61	2005, '07
Ncl	ENSMUST00000027438.7	nucleolin 	41899	1	1	0	0	0	0	0	0	0	mmu-miR-1a-3p	0.0120	0.0837	0.4507	-0.47	-0.47	0.93	2005, '07, '09, '11
Gch1	ENSMUST00000089959.6	GTP cyclohydrolase 1 	1122	1	1	0	0	0	0	0	0	0	mmu-miR-1a-3p	0.0324	0.1983	0.6502	-0.47	-0.47	0.18	2005, '09, '11
Ywhaq	ENSMUST00000103002.2	tyrosine 3-monooxygenase/tryptophan 5-monooxygenase activation protein, theta polypeptide 	2176	1	0	1	0	1	0	1	0	1	mmu-miR-1a-3p	0.0522	0.3055	0.9642	-0.47	-0.54	0.87	2005, '07, '09, '11
Tmem178	ENSMUST00000025092.4	transmembrane protein 178 	34	1	1	0	0	2	0	2	0	0	mmu-miR-1a-3p	0.0784	0.4191	1.1487	-0.47	-0.60	0.88	2009, '11
Twf1	ENSMUST00000023087.7	twinfilin, actin-binding protein, homolog 1 (Drosophila) 	451	2	1	0	1	0	0	0	0	0	mmu-miR-1a-3p	0.0376	0.2484	1.0581	-0.47	-0.52	0.93	2007, '09, '11
Tagln2	ENSMUST00000111230.2	transgelin 2 	4629	1	0	1	0	1	0	0	1	2	mmu-miR-1a-3p	0.0261	0.1821	0.9566	-0.47	-0.48	0.86	2005, '07, '09, '11
Vamp4	ENSMUST00000150040.2	vesicle-associated membrane protein 4 	805	1	1	0	0	1	0	0	1	0	mmu-miR-1a-3p	0.0488	0.2604	0.6536	-0.46	-0.64	0.92	2007
Smarcb1	ENSMUST00000000925.4	SWI/SNF related, matrix associated, actin dependent regulator of chromatin, subfamily b, member 1 	233	1	1	0	0	0	0	0	0	0	mmu-miR-1a-3p	0.0314	0.1930	0.6386	-0.46	-0.46	0.32	2005, '07, '09, '11
Adpgk	ENSMUST00000026266.7	ADP-dependent glucokinase 	749	1	1	0	0	0	0	0	0	0	mmu-miR-1a-3p	0.0608	0.3272	0.8297	-0.46	-0.46	0.89	2005, '07, '09, '11
Tra2b	ENSMUST00000161286.2	transformer 2 beta homolog (Drosophila) 	6271	1	1	0	0	0	0	0	0	0	mmu-miR-1a-3p	0.0462	0.2635	0.7249	-0.45	-0.46	0.92	2007, '09, '11
Msantd2	ENSMUST00000048604.6	Myb/SANT-like DNA-binding domain containing 2 	99	1	1	0	0	0	0	0	0	0	mmu-miR-206-3p	0.0336	0.2052	0.6739	-0.45	-0.45	0.93	2007, '09, '11
Cplx2	ENSMUST00000026985.8	complexin 2 	77	2	1	1	0	2	1	0	1	1	mmu-miR-206-3p	0.0455	0.2964	1.2157	-0.45	-0.55	0.92	2005, '07, '09, '11
Tmem55b	ENSMUST00000160835.2	transmembrane protein 55b 	1409	1	1	0	0	0	0	0	0	1	mmu-miR-1a-3p	0.0849	0.4212	0.9909	-0.45	-0.45	0.35	2005, '07, '09, '11
Edn1	ENSMUST00000021796.7	endothelin 1 	982	1	1	0	0	0	0	0	0	0	mmu-miR-1a-3p	0.0532	0.2970	0.8074	-0.45	-0.45	0.29	2005, '07, '09, '11
Tmem18	ENSMUST00000057151.8	transmembrane protein 18 	2031	1	1	0	0	0	0	0	0	0	mmu-miR-1a-3p	0.0990	0.4485	0.9195	-0.45	-0.47	< 0.1	2009, '11
Pogk	ENSMUST00000131487.2	pogo transposable element with KRAB domain 	370	1	0	1	0	0	0	0	0	2	mmu-miR-1a-3p	0.0399	0.2667	1.2468	-0.44	-0.46	0.85	2005, '07, '09, '11
Osbpl7	ENSMUST00000090020.6	oxysterol binding protein-like 7 	235	1	1	0	0	0	0	0	0	0	mmu-miR-1a-3p	0.0745	0.3730	0.8173	-0.44	-0.44	0.88	2005, '07, '09, '11
Tspan4	ENSMUST00000026585.8	tetraspanin 4 	5489	1	1	0	0	0	0	0	0	0	mmu-miR-206-3p	0.0136	0.0927	0.4302	-0.44	-0.44	0.67	2005, '07, '09, '11
Mmd2	ENSMUST00000037048.7	monocyte to macrophage differentiation-associated 2 	13	1	0	0	1	1	1	0	0	1	mmu-miR-1a-3p	0.0909	0.4835	1.4161	-0.44	-0.44	0.54	2005, '07, '09, '11
G6pdx	ENSMUST00000004327.5	glucose-6-phosphate dehydrogenase X-linked 	52	2	0	2	0	0	0	0	0	0	mmu-miR-1a-3p	0.0328	0.2172	0.9235	-0.44	-0.52	0.70	2009, '11
Mipol1	ENSMUST00000123498.2	mirror-image polydactyly gene 1 homolog (human) 	166	1	1	0	0	0	0	0	0	1	mmu-miR-206-3p	0.0215	0.1411	0.5827	-0.43	-0.43	0.82	2005, '07
Mpp7	ENSMUST00000115869.2	membrane protein, palmitoylated 7 (MAGUK p55 subfamily member 7) 	717	1	1	0	0	1	0	1	0	0	mmu-miR-1a-3p	0.0533	0.3237	1.1259	-0.43	-0.43	0.92	2007, '11
Mctp1	ENSMUST00000125209.2	multiple C2 domains, transmembrane 1 	29	1	0	0	1	2	0	1	1	1	mmu-miR-1a-3p	0.0884	0.5602	2.1218	-0.43	-0.45	0.71	2009, '11
Eml3	ENSMUST00000096241.4	echinoderm microtubule associated protein like 3 	72	1	0	1	0	0	0	0	0	0	mmu-miR-1a-3p	0.0604	0.3330	0.9334	-0.43	-0.45	0.85	2007, '09, '11
Ankrd29	ENSMUST00000118525.2	ankyrin repeat domain 29 	88	1	1	0	0	1	1	0	0	0	mmu-miR-206-3p	0.0471	0.2918	1.0036	-0.42	-0.58	0.14	2005, '07, '11
Ap1g1	ENSMUST00000093157.7	adaptor protein complex AP-1, gamma 1 subunit 	3408	1	0	1	0	1	0	1	0	2	mmu-miR-1a-3p	0.0669	0.4129	1.5945	-0.42	-0.51	0.12	2005, '07, '11
Frs2	ENSMUST00000020381.3	fibroblast growth factor receptor substrate 2 	1348	1	1	0	0	1	0	1	0	0	mmu-miR-1a-3p	0.0916	0.4641	1.1754	-0.42	-0.42	0.83	2007, '09, '11
Trappc4	ENSMUST00000034623.6	trafficking protein particle complex 4 	1032	1	0	1	0	0	0	0	0	0	mmu-miR-1a-3p	0.0354	0.2132	0.6640	-0.42	-0.42	0.24	2005, '07, '09, '11
Hmcn1	ENSMUST00000074783.6	hemicentin 1 	49	1	1	0	0	0	0	0	0	0	mmu-miR-1a-3p	0.1531	0.6620	1.7052	-0.42	-0.42	0.26	2005, '07, '09, '11
Ccsap	ENSMUST00000034452.6	centriole, cilia and spindle associated protein 	83	1	1	0	0	2	1	0	1	3	mmu-miR-1a-3p	0.0508	0.3445	1.6410	-0.42	-0.43	0.52	2007, '09, '11
Cnn3	ENSMUST00000029773.8	calponin 3, acidic 	2114	1	0	1	0	0	0	0	0	0	mmu-miR-1a-3p	0.0444	0.2571	0.7435	-0.41	-0.41	0.81	2005, '07, '09, '11
Ajuba	ENSMUST00000054487.8	ajuba LIM protein 	811	1	1	0	0	0	0	0	0	0	mmu-miR-206-3p	0.0662	0.3439	0.7948	-0.41	-0.41	0.89	2007, '09, '11
Cited2	ENSMUST00000038107.7	Cbp/p300-interacting transactivator, with Glu/Asp-rich carboxy-terminal domain, 2 	1322	1	0	1	0	1	1	0	0	0	mmu-miR-206-3p	0.0326	0.2001	0.6642	-0.41	-0.73	0.69	2007, '09, '11
Pdik1l	ENSMUST00000105877.3	PDLIM1 interacting kinase 1 like 	117	2	0	1	1	0	0	0	0	0	mmu-miR-1a-3p	0.0206	0.1425	0.7220	-0.41	-0.41	0.95	2005, '07, '09, '11
Crebl2	ENSMUST00000046303.6	cAMP responsive element binding protein-like 2 	459	2	1	0	1	1	0	1	0	0	mmu-miR-1a-3p	0.0356	0.2294	0.9439	-0.41	-0.43	0.85	2005, '07, '09, '11
Lrch1	ENSMUST00000088970.5	leucine-rich repeats and calponin homology (CH) domain containing 1 	129	2	1	0	1	0	0	0	0	0	mmu-miR-206-3p	0.0644	0.3730	1.1959	-0.41	-0.41	0.75	2009, '11
Nxt2	ENSMUST00000112916.3	nuclear transport factor 2-like export factor 2 	128	1	1	0	0	0	0	0	0	0	mmu-miR-1a-3p	0.0647	0.3481	0.9169	-0.41	-0.41	0.16	2007, '09, '11
Ccr1l1	ENSMUST00000071404.3	chemokine (C-C motif) receptor 1-like 1 	5	1	1	0	0	0	0	0	0	0	mmu-miR-1a-3p	0.0502	0.2811	0.7428	-0.41	-0.41	< 0.1	2011
Foxp1	ENSMUST00000113326.3	forkhead box P1 	1050	3	0	1	2	3	0	3	0	1	mmu-miR-1a-3p	0.0725	0.4565	1.7231	-0.41	-0.76	0.91	2005, '07, '11
Cttnbp2nl	ENSMUST00000077548.6	CTTNBP2 N-terminal like 	823	2	1	1	0	1	0	0	1	1	mmu-miR-206-3p	0.0356	0.2230	0.8298	-0.41	-0.59	0.94	2005, '07, '09, '11
Sowahc	ENSMUST00000182161.1	sosondowah ankyrin repeat domain family member C 	816	1	1	0	0	0	0	0	0	4	mmu-miR-1a-3p	0.1043	0.5668	1.8787	-0.40	-0.42	< 0.1	2007, '09, '11
Hnrnpa3	ENSMUST00000111962.2	heterogeneous nuclear ribonucleoprotein A3 	57	2	1	1	0	1	0	0	1	0	mmu-miR-1a-3p	0.0428	0.2700	1.0740	-0.40	-0.53	0.92	2007, '09, '11
Snai2	ENSMUST00000023356.6	snail homolog 2 (Drosophila) 	159	1	0	1	0	1	1	0	0	0	mmu-miR-1a-3p	0.0583	0.3233	0.8606	-0.40	-0.77	0.87	2005, '07, '09, '11
Arcn1	ENSMUST00000034607.9	archain 1 	164	1	1	0	0	0	0	0	0	0	mmu-miR-1a-3p	0.0532	0.2821	0.6955	-0.40	-0.49	0.91	2005, '07, '09, '11
Tppp	ENSMUST00000022057.8	tubulin polymerization promoting protein 	192	1	0	1	0	2	0	0	2	0	mmu-miR-206-3p	0.0821	0.4312	1.1911	-0.39	-0.44	0.67	2005, '07, '09, '11
Rspo3	ENSMUST00000092623.3	R-spondin 3 homolog (Xenopus laevis) 	21	1	0	1	0	0	0	0	0	0	mmu-miR-1a-3p	0.0328	0.2003	0.6493	-0.39	-0.39	0.86	2005, '07, '09, '11
Cxcr4	ENSMUST00000052172.6	chemokine (C-X-C motif) receptor 4 	26	1	1	0	0	0	0	0	0	1	mmu-miR-1a-3p	0.0415	0.2533	0.8658	-0.39	-0.39	< 0.1	2005, '07, '09, '11
Josd1	ENSMUST00000023061.5	Josephin domain containing 1 	597	1	1	0	0	0	0	0	0	0	mmu-miR-206-3p	0.0444	0.2650	0.8671	-0.39	-0.39	0.92	2007, '09, '11
Arf3	ENSMUST00000053183.9	ADP-ribosylation factor 3 	840	2	0	1	1	1	0	1	0	3	mmu-miR-206-3p	0.0642	0.4222	1.7659	-0.39	-0.41	0.70	2005, '07, '09, '11
Hiat1	ENSMUST00000029570.6	hippocampus abundant gene transcript 1 	754	1	1	0	0	0	0	0	0	0	mmu-miR-1a-3p	0.0325	0.2017	0.7070	-0.39	-0.39	0.60	2005, '09, '11
Fn1	ENSMUST00000188894.1	fibronectin 1 	7442	1	1	0	0	0	0	0	0	0	mmu-miR-1a-3p	0.0544	0.3163	1.0199	-0.39	-0.39	0.18	2005, '07, '09, '11
Eif4e	ENSMUST00000029803.7	eukaryotic translation initiation factor 4E 	1238	1	0	1	0	2	1	0	1	1	mmu-miR-206-3p	0.0409	0.2434	0.7643	-0.38	-0.42	0.87	2005, '07, '09, '11
Fndc3a	ENSMUST00000089017.6	fibronectin type III domain containing 3A 	1154	1	1	0	0	0	0	0	0	0	mmu-miR-1a-3p	0.0887	0.4235	0.9610	-0.38	-0.41	0.87	2005, '07, '09, '11
Kctd13	ENSMUST00000032924.5	potassium channel tetramerisation domain containing 13 	497	1	1	0	0	0	0	0	0	0	mmu-miR-206-3p	0.0262	0.1658	0.5950	-0.38	-0.38	0.37	2005, '07, '09, '11
Cebpz	ENSMUST00000024885.8	CCAAT/enhancer binding protein zeta 	109	1	1	0	0	0	0	0	0	0	mmu-miR-1a-3p	0.0798	0.3824	0.7858	-0.38	-0.41	< 0.1	2005, '07, '09
Pdcd10	ENSMUST00000161137.2	programmed cell death 10 	562	1	0	1	0	0	0	0	0	0	mmu-miR-1a-3p	0.0344	0.2046	0.6233	-0.38	-0.42	0.84	2005, '07, '09, '11
Ube2h	ENSMUST00000102993.4	ubiquitin-conjugating enzyme E2H 	1830	1	1	0	0	0	0	0	0	1	mmu-miR-206-3p	0.0334	0.2133	0.8386	-0.38	-0.38	0.92	2005, '07, '09, '11
Uhmk1	ENSMUST00000123399.1	U2AF homology motif (UHM) kinase 1 	267	2	0	2	0	0	0	0	0	0	mmu-miR-1a-3p	0.0849	0.4775	1.4010	-0.38	-0.50	0.81	NULL
Dhx15	ENSMUST00000031061.7	DEAH (Asp-Glu-Ala-His) box polypeptide 15 	4713	1	0	1	0	0	0	0	0	0	mmu-miR-1a-3p	0.0303	0.2043	0.9576	-0.37	-0.38	0.87	2005, '07, '11
Chsy1	ENSMUST00000036372.6	chondroitin sulfate synthase 1 	945	2	0	2	0	0	0	0	0	0	mmu-miR-1a-3p	0.0461	0.2997	1.2203	-0.37	-0.38	0.79	2005, '07, '09, '11
Ywhaz	ENSMUST00000022894.8	tyrosine 3-monooxygenase/tryptophan 5-monooxygenase activation protein, zeta polypeptide 	3267	1	1	0	0	1	0	0	1	0	mmu-miR-1a-3p	0.0313	0.1978	0.7194	-0.37	-0.38	0.93	2005, '07, '09, '11
Sp2	ENSMUST00000107626.2	Sp2 transcription factor 	236	1	1	0	0	0	0	0	0	1	mmu-miR-1a-3p	0.0659	0.3434	0.8022	-0.37	-0.37	0.92	2005, '07, '09, '11
Sfrp1	ENSMUST00000033952.7	secreted frizzled-related protein 1 	472	1	0	1	0	0	0	0	0	4	mmu-miR-206-3p	0.0337	0.2257	1.0467	-0.37	-0.42	0.86	2005, '07, '09, '11
AW549877	ENSMUST00000046633.8	expressed sequence AW549877 	790	2	0	2	0	1	0	0	1	0	mmu-miR-1a-3p	0.0586	0.3725	1.4177	-0.36	-0.41	0.85	2009, '11
Crem	ENSMUST00000151311.2	cAMP responsive element modulator 	751	1	0	1	0	1	1	0	0	3	mmu-miR-1a-3p	0.0549	0.2938	0.7376	-0.36	-0.47	0.87	2005, '07, '09, '11
Pla2g4a	ENSMUST00000070200.9	phospholipase A2, group IVA (cytosolic, calcium-dependent) 	6556	1	0	1	0	0	0	0	0	0	mmu-miR-1a-3p	0.0376	0.2327	0.8346	-0.36	-0.36	0.18	2005, '07, '09, '11
Gclc	ENSMUST00000034905.8	glutamate-cysteine ligase, catalytic subunit 	3160	1	0	0	1	1	0	0	1	0	mmu-miR-1a-3p	0.0283	0.1924	0.9482	-0.36	-0.36	0.70	2005, '07, '09, '11
Clcn3	ENSMUST00000093490.3	chloride channel 3 	1254	1	1	0	0	1	0	0	1	0	mmu-miR-1a-3p	0.0796	0.3902	0.8283	-0.36	-0.37	0.93	2005, '07, '09, '11
Cpeb1	ENSMUST00000098331.4	cytoplasmic polyadenylation element binding protein 1 	361	1	0	1	0	0	0	0	0	0	mmu-miR-1a-3p	0.0497	0.2787	0.7434	-0.36	-0.36	0.84	2005, '07, '09, '11
Sh3bgrl3	ENSMUST00000030651.8	SH3 domain binding glutamic acid-rich protein-like 3 	2989	1	0	1	0	0	0	0	0	1	mmu-miR-206-3p	0.0151	0.1046	0.5397	-0.36	-0.36	0.11	2005, '07, '09, '11
Mab21l1	ENSMUST00000075422.4	mab-21-like 1 (C. elegans) 	73	1	0	1	0	0	0	0	0	0	mmu-miR-1a-3p	0.0341	0.2069	0.6585	-0.36	-0.36	0.84	2005, '07, '09, '11
Pdpn	ENSMUST00000030317.8	podoplanin 	2737	1	1	0	0	0	0	0	0	0	mmu-miR-1a-3p	0.0383	0.2272	0.6848	-0.36	-0.36	0.19	2005, '07, '09, '11
Ift80	ENSMUST00000107812.2	intraflagellar transport 80 	46	1	1	0	0	0	0	0	0	0	mmu-miR-1a-3p	0.0365	0.2261	0.8014	-0.36	-0.36	0.46	2007, '09, '11
Ddx5	ENSMUST00000021062.6	DEAD (Asp-Glu-Ala-Asp) box polypeptide 5 	400	1	0	1	0	0	0	0	0	1	mmu-miR-1a-3p	0.0290	0.1904	0.8274	-0.36	-0.36	0.87	2005, '07, '09, '11
Stc2	ENSMUST00000020546.2	stanniocalcin 2 	149	1	1	0	0	0	0	0	0	0	mmu-miR-1a-3p	0.0061	0.0437	0.2580	-0.36	-0.38	0.92	2005, '07, '09, '11
C1galt1	ENSMUST00000040159.4	core 1 synthase, glycoprotein-N-acetylgalactosamine 3-beta-galactosyltransferase, 1 	659	1	1	0	0	0	0	0	0	0	mmu-miR-1a-3p	0.0400	0.2387	0.7532	-0.36	-0.36	0.25	2005, '07, '09, '11
Snx25	ENSMUST00000110378.3	sorting nexin 25 	253	1	0	1	0	0	0	0	0	0	mmu-miR-1a-3p	0.0314	0.2053	0.8511	-0.36	-0.38	0.87	2005, '07, '09, '11
Kmt2e	ENSMUST00000094962.3	lysine (K)-specific methyltransferase 2E 	2118	1	1	0	0	1	0	0	1	0	mmu-miR-1a-3p	0.0331	0.2102	0.8138	-0.36	-0.38	0.92	2007, '11
Gpr125	ENSMUST00000030971.5	G protein-coupled receptor 125 	2616	1	0	1	0	0	0	0	0	0	mmu-miR-1a-3p	0.0194	0.1281	0.5292	-0.35	-0.35	0.87	2007, '11
