Target gene	Representative transcript	Gene name	3P-seq tags + 5	Total sites	8mer sites	7mer-m8 sites	7mer-A1 sites	6mer sites	Representative miRNA	Predicted occupancy (low miRNA)	Predicted occupancy (high miRNA)	Predicted occupancy (transfected miRNA)	Cumulative weighted context++ score	Total context++ score	Aggregate PCT
Tsn	ENSMUST00000027623.8	translin 	587	2*	0	0	0	2	mmu-miR-574-5p	0.0000	0.0003	0.0019	-1.00	0	< 0.1
Kcng1	ENSMUST00000109191.1	potassium voltage-gated channel, subfamily G, member 1 	17	5*	2	1	0	0	mmu-miR-574-5p	0.1233	0.7191	2.3106	-0.96	-0.96	< 0.1
4930556J24Rik	ENSMUST00000042344.1	RIKEN cDNA 4930556J24 gene 	5	2	1	1	0	0	mmu-miR-574-5p	0.0655	0.3881	1.2297	-0.94	-0.94	< 0.1
Tnfaip1	ENSMUST00000017759.3	tumor necrosis factor, alpha-induced protein 1 (endothelial) 	4213	4	3	0	1	0	mmu-miR-574-5p	0.1156	0.6015	1.6658	-0.90	-0.92	< 0.1
Palm	ENSMUST00000046945.7	paralemmin 	17	3	2	1	0	0	mmu-miR-574-5p	0.0805	0.4791	1.5111	-0.88	-0.88	< 0.1
Nkg7	ENSMUST00000070518.2	natural killer cell group 7 sequence 	17	1	1	0	0	0	mmu-miR-574-5p	0.0539	0.2962	0.7567	-0.81	-0.81	< 0.1
Dhdh	ENSMUST00000011526.4	dihydrodiol dehydrogenase (dimeric) 	4114	13*	2	0	0	1	mmu-miR-574-5p	0.1286	0.6837	1.7175	-0.81	-0.83	< 0.1
B230118H07Rik	ENSMUST00000111231.4	RIKEN cDNA B230118H07 gene 	4274	2	2	0	0	0	mmu-miR-574-5p	0.0388	0.2345	0.7746	-0.81	-1.11	< 0.1
Taf6	ENSMUST00000048698.8	TAF6 RNA polymerase II, TATA box binding protein (TBP)-associated factor 	1167	1	1	0	0	0	mmu-miR-574-5p	0.0489	0.2894	0.9374	-0.80	-0.80	< 0.1
Pet100	ENSMUST00000156380.2	PET100 homolog (S. cerevisiae) 	3536	1	1	0	0	1	mmu-miR-574-5p	0.0443	0.2553	0.7205	-0.79	-0.91	< 0.1
Olfr235	ENSMUST00000073507.2	olfactory receptor 235 	5	1	1	0	0	0	mmu-miR-574-5p	0.0301	0.1871	0.6418	-0.76	-0.76	< 0.1
Rab11fip2	ENSMUST00000171986.2	RAB11 family interacting protein 2 (class I) 	452	2	2	0	0	2	mmu-miR-574-5p	0.1080	0.6433	2.2362	-0.76	-0.76	< 0.1
Gjd3	ENSMUST00000062931.1	gap junction protein, delta 3 	6	2	1	1	0	0	mmu-miR-574-5p	0.0505	0.3101	1.0795	-0.75	-0.75	< 0.1
Gm26566	ENSMUST00000181601.1	predicted gene, 26566 	15	1	1	0	0	0	mmu-miR-574-5p	0.0458	0.2617	0.7237	-0.72	-0.72	< 0.1
Sln	ENSMUST00000048485.5	sarcolipin 	156	1	1	0	0	0	mmu-miR-574-5p	0.0241	0.1544	0.5748	-0.72	-0.72	< 0.1
Spaca7	ENSMUST00000010579.6	sperm acrosome associated 7 	5	1	1	0	0	0	mmu-miR-574-5p	0.0418	0.2449	0.7206	-0.71	-0.71	< 0.1
Tead1	ENSMUST00000059768.11	TEA domain family member 1 	731	6*	1	3	0	0	mmu-miR-574-5p	0.1000	0.6297	2.3207	-0.70	-0.72	< 0.1
Lhx1	ENSMUST00000018842.8	LIM homeobox protein 1 	42	3*	1	0	1	0	mmu-miR-574-5p	0.1092	0.5412	1.3670	-0.70	-0.70	< 0.1
Tmem239	ENSMUST00000055421.5	transmembrane 239 	5	2	0	2	0	1	mmu-miR-574-5p	0.0514	0.3342	1.3736	-0.69	-0.69	< 0.1
Grem2	ENSMUST00000055294.3	gremlin 2 homolog, cysteine knot superfamily (Xenopus laevis) 	231	4	0	2	2	1	mmu-miR-574-5p	0.0764	0.4929	2.0172	-0.69	-0.69	< 0.1
Vegfb	ENSMUST00000025914.6	vascular endothelial growth factor B 	7384	2*	1	0	0	0	mmu-miR-574-5p	0.0491	0.2760	0.7357	-0.69	-0.69	< 0.1
Tectb	ENSMUST00000025936.6	tectorin beta 	19	2	1	1	0	0	mmu-miR-574-5p	0.0785	0.4459	1.3838	-0.68	-0.68	< 0.1
Nufip1	ENSMUST00000022586.1	nuclear fragile X mental retardation protein interacting protein 1 	1292	2	2	0	0	0	mmu-miR-574-5p	0.0264	0.1672	0.6054	-0.67	-0.90	< 0.1
Stxbp4	ENSMUST00000143203.2	syntaxin binding protein 4 	611	7*	2	1	1	1	mmu-miR-574-5p	0.1435	0.7945	2.5550	-0.67	-0.69	< 0.1
Nrn1	ENSMUST00000037623.9	neuritin 1 	117	2	1	0	1	0	mmu-miR-574-5p	0.0565	0.3188	0.9325	-0.66	-0.69	< 0.1
Sh3rf3	ENSMUST00000153031.1	SH3 domain containing ring finger 3 	101	9*	2	1	1	1	mmu-miR-574-5p	0.1439	0.7986	2.3498	-0.64	-0.71	< 0.1
D630036H23Rik	ENSMUST00000171007.1	RIKEN cDNA D630036H23 gene 	19	2	2	0	0	0	mmu-miR-574-5p	0.0359	0.2277	0.8269	-0.64	-1.00	< 0.1
1110025L11Rik	ENSMUST00000089104.2	RIKEN cDNA 1110025L11 gene 	8	24*	12	1	1	1	mmu-miR-574-5p	0.2172	1.0285	2.2397	-0.64	-5.56	< 0.1
Ccdc32	ENSMUST00000036470.8	coiled-coil domain containing 32 	362	2	1	1	0	0	mmu-miR-574-5p	0.0627	0.3644	1.1372	-0.63	-0.63	< 0.1
BC053393	ENSMUST00000050937.6	cDNA sequence BC053393 	5	2	1	0	1	0	mmu-miR-574-5p	0.0384	0.2447	0.9586	-0.63	-0.63	< 0.1
Cst12	ENSMUST00000028932.3	cystatin 12 	5	1	1	0	0	0	mmu-miR-574-5p	0.0229	0.1482	0.5754	-0.63	-0.63	< 0.1
Oaz1	ENSMUST00000179172.2	ornithine decarboxylase antizyme 1 	4239	1	1	0	0	1	mmu-miR-574-5p	0.0351	0.2197	0.8056	-0.62	-0.62	< 0.1
Tac4	ENSMUST00000021242.4	tachykinin 4 	5	2	0	2	0	0	mmu-miR-574-5p	0.0437	0.2836	1.0994	-0.62	-0.62	< 0.1
Tacr1	ENSMUST00000032122.8	tachykinin receptor 1 	8	13*	2	0	0	0	mmu-miR-574-5p	0.0561	0.3140	0.8943	-0.61	-0.61	< 0.1
Golph3l	ENSMUST00000060323.6	golgi phosphoprotein 3-like 	719	4	2	1	1	2	mmu-miR-574-5p	0.0454	0.2859	1.1318	-0.61	-0.97	< 0.1
Cdh12	ENSMUST00000075132.6	cadherin 12 	5	6*	1	2	1	2	mmu-miR-574-5p	0.0993	0.5563	1.7679	-0.61	-0.89	< 0.1
Gareml	ENSMUST00000058045.4	GRB2 associated, regulator of MAPK1-like 	50	3*	2	0	0	0	mmu-miR-574-5p	0.0843	0.5023	1.6078	-0.61	-0.61	< 0.1
Yif1b	ENSMUST00000108237.1	Yip1 interacting factor homolog B (S. cerevisiae) 	2697	1	1	0	0	0	mmu-miR-574-5p	0.0279	0.1752	0.6108	-0.61	-0.61	< 0.1
Ucn3	ENSMUST00000058610.7	urocortin 3 	5	1	1	0	0	0	mmu-miR-574-5p	0.0509	0.2839	0.7455	-0.61	-0.61	< 0.1
Ythdc2	ENSMUST00000037763.7	YTH domain containing 2 	288	2	2	0	0	0	mmu-miR-574-5p	0.1187	0.5069	0.9622	-0.60	-0.60	< 0.1
Tmem150c	ENSMUST00000063192.9	transmembrane protein 150C 	16	5*	1	1	1	0	mmu-miR-574-5p	0.0357	0.2422	1.1513	-0.60	-0.64	< 0.1
Fam124a	ENSMUST00000039064.7	family with sequence similarity 124, member A 	64	2	1	1	0	0	mmu-miR-574-5p	0.0547	0.3316	1.1579	-0.60	-0.60	< 0.1
A530099J19Rik	ENSMUST00000151029.1	RIKEN cDNA A530099J19 gene 	17	6*	1	1	0	1	mmu-miR-574-5p	0.0702	0.3996	1.1973	-0.59	-0.73	< 0.1
Gnao1	ENSMUST00000125716.2	guanine nucleotide binding protein, alpha O 	157	9*	2	0	1	1	mmu-miR-574-5p	0.0719	0.4375	1.6234	-0.58	-0.66	< 0.1
RP23-29K12.9	ENSMUST00000188900.1		5	2	0	2	0	1	mmu-miR-574-5p	0.0527	0.3431	1.4364	-0.58	-0.58	< 0.1
Glis3	ENSMUST00000162022.2	GLIS family zinc finger 3 	235	4*	1	1	0	1	mmu-miR-574-5p	0.1072	0.6312	2.2179	-0.57	-0.58	< 0.1
Sowahb	ENSMUST00000061328.5	sosondowah ankyrin repeat domain family member B 	252	9*	0	2	1	0	mmu-miR-574-5p	0.0398	0.2742	1.3811	-0.57	-0.57	< 0.1
Rhebl1	ENSMUST00000024518.9	Ras homolog enriched in brain like 1 	71	1	1	0	0	0	mmu-miR-574-5p	0.0275	0.1728	0.6068	-0.57	-0.57	< 0.1
Bcl7b	ENSMUST00000031692.6	B cell CLL/lymphoma 7B 	1040	1	1	0	0	0	mmu-miR-574-5p	0.0400	0.2477	0.8841	-0.57	-0.57	< 0.1
Sumo2	ENSMUST00000121185.2	SMT3 suppressor of mif two 3 homolog 2 (yeast) 	91	1	1	0	0	0	mmu-miR-574-5p	0.0198	0.1297	0.5242	-0.57	-0.57	< 0.1
Shank1	ENSMUST00000107938.2	SH3/ankyrin domain gene 1 	14	3	3	0	0	0	mmu-miR-574-5p	0.1133	0.6414	2.0454	-0.57	-0.57	< 0.1
Alpl	ENSMUST00000030551.5	alkaline phosphatase, liver/bone/kidney 	528	3*	1	1	0	1	mmu-miR-574-5p	0.0350	0.2347	1.0616	-0.57	-0.57	< 0.1
Yaf2	ENSMUST00000080299.6	YY1 associated factor 2 	1098	2	2	0	0	2	mmu-miR-574-5p	0.0569	0.3104	0.7977	-0.56	-0.88	< 0.1
Slc41a1	ENSMUST00000086559.6	solute carrier family 41, member 1 	351	2	1	1	0	2	mmu-miR-574-5p	0.0984	0.5454	1.7568	-0.56	-0.58	< 0.1
Mmgt1	ENSMUST00000059899.2	membrane magnesium transporter 1 	227	2	1	0	1	1	mmu-miR-574-5p	0.0572	0.3462	1.2566	-0.56	-0.56	< 0.1
Olfml2a	ENSMUST00000057279.5	olfactomedin-like 2A 	76	3	2	0	1	0	mmu-miR-574-5p	0.0658	0.4076	1.5781	-0.56	-0.87	< 0.1
Iars2	ENSMUST00000027921.5	isoleucine-tRNA synthetase 2, mitochondrial 	3667	3*	1	0	0	1	mmu-miR-574-5p	0.0928	0.4440	1.0031	-0.56	-0.56	< 0.1
Capns1	ENSMUST00000001845.6	calpain, small subunit 1 	11270	10*	4	1	0	0	mmu-miR-574-5p	0.0356	0.2139	0.6649	-0.56	-2.26	< 0.1
Gm13889	ENSMUST00000148314.2	predicted gene 13889 	402	3*	0	1	0	0	mmu-miR-574-5p	0.0419	0.2446	0.7107	-0.56	-0.69	< 0.1
Rnf144a	ENSMUST00000020971.7	ring finger protein 144A 	287	3	1	2	0	1	mmu-miR-574-5p	0.0852	0.5124	1.7470	-0.55	-0.61	< 0.1
C920021L13Rik	ENSMUST00000120398.1	RIKEN cDNA C920021L13 gene 	5	1	1	0	0	0	mmu-miR-574-5p	0.0455	0.2616	0.7432	-0.55	-0.55	< 0.1
E430018J23Rik	ENSMUST00000074249.6	RIKEN cDNA E430018J23 gene 	60	7*	0	1	2	0	mmu-miR-574-5p	0.0353	0.2464	1.3141	-0.55	-0.55	< 0.1
Khdc1c	ENSMUST00000070223.5	KH domain containing 1C 	5	1	1	0	0	1	mmu-miR-574-5p	0.0587	0.3368	1.0282	-0.55	-0.55	< 0.1
Cd19	ENSMUST00000032968.5	CD19 antigen 	7	1	1	0	0	0	mmu-miR-574-5p	0.0744	0.3798	0.9053	-0.55	-0.55	< 0.1
Bmpr1a	ENSMUST00000165280.2	bone morphogenetic protein receptor, type 1A 	1312	3	1	2	0	1	mmu-miR-574-5p	0.0944	0.5558	1.8338	-0.55	-0.61	< 0.1
Slc27a4	ENSMUST00000080065.2	solute carrier family 27 (fatty acid transporter), member 4 	1505	1	1	0	0	0	mmu-miR-574-5p	0.0427	0.2625	0.9505	-0.54	-0.55	< 0.1
Gdf7	ENSMUST00000037313.4	growth differentiation factor 7 	0	2	0	1	1	1	mmu-miR-574-5p	0.0427	0.2793	1.2153	-0.54	-0.54	< 0.1
Nsf	ENSMUST00000103075.5	N-ethylmaleimide sensitive fusion protein 	48	2	1	1	0	0	mmu-miR-574-5p	0.0797	0.4580	1.3391	-0.54	-0.54	< 0.1
Rab6b	ENSMUST00000035155.7	RAB6B, member RAS oncogene family 	192	4*	1	1	0	1	mmu-miR-574-5p	0.0542	0.3313	1.2298	-0.54	-0.58	< 0.1
Vmn1r67	ENSMUST00000055964.5	vomeronasal 1 receptor 67 	5	1	0	1	0	0	mmu-miR-574-5p	0.0242	0.1550	0.5841	-0.54	-0.54	< 0.1
Mmp17	ENSMUST00000031390.8	matrix metallopeptidase 17 	35	3	2	0	1	0	mmu-miR-574-5p	0.0937	0.5375	1.5368	-0.53	-0.61	< 0.1
Mrap	ENSMUST00000038197.2	melanocortin 2 receptor accessory protein 	197	1	1	0	0	0	mmu-miR-574-5p	0.0250	0.1594	0.5836	-0.53	-0.53	< 0.1
Cdk2ap1	ENSMUST00000031341.5	CDK2 (cyclin-dependent kinase 2)-associated protein 1 	66	5*	1	1	1	0	mmu-miR-574-5p	0.0252	0.1609	0.5982	-0.53	-0.67	< 0.1
C230062I16Rik	ENSMUST00000077142.2	RIKEN cDNA C230062I16 gene 	8	1	1	0	0	2	mmu-miR-574-5p	0.0578	0.3375	1.1001	-0.53	-0.53	< 0.1
Clca1	ENSMUST00000059091.5	chloride channel calcium activated 1 	30	1	1	0	0	0	mmu-miR-574-5p	0.0480	0.2721	0.7425	-0.53	-0.53	< 0.1
Setd8	ENSMUST00000059580.5	SET domain containing (lysine methyltransferase) 8 	582	4*	1	0	0	0	mmu-miR-574-5p	0.0669	0.3490	0.8328	-0.53	-0.53	< 0.1
Smim5	ENSMUST00000152171.2	small integral membrane protein 5 	110	2	1	1	0	0	mmu-miR-574-5p	0.0313	0.1927	0.6405	-0.52	-0.66	< 0.1
Coa4	ENSMUST00000054310.3	cytochrome c oxidase assembly factor 4 	422	2	0	1	1	0	mmu-miR-574-5p	0.0179	0.1241	0.6399	-0.52	-0.53	< 0.1
Zfp764	ENSMUST00000059199.6	zinc finger protein 764 	10	3*	0	2	0	0	mmu-miR-574-5p	0.0680	0.4036	1.3670	-0.52	-0.52	< 0.1
Stoml3	ENSMUST00000029307.3	stomatin (Epb7.2)-like 3 	5	9*	1	0	0	0	mmu-miR-574-5p	0.0827	0.3997	0.8311	-0.52	-0.52	< 0.1
4933406P04Rik	ENSMUST00000092680.2	RIKEN cDNA 4933406P04 gene 	12	2	0	1	1	0	mmu-miR-574-5p	0.0237	0.1578	0.6992	-0.52	-0.52	< 0.1
Glrx3	ENSMUST00000064404.6	glutaredoxin 3 	159	1	1	0	0	0	mmu-miR-574-5p	0.0328	0.2008	0.6581	-0.52	-0.52	< 0.1
Kif18b	ENSMUST00000021311.9	kinesin family member 18B 	146	1	1	0	0	1	mmu-miR-574-5p	0.0446	0.2816	1.0948	-0.52	-0.59	< 0.1
Ebna1bp2	ENSMUST00000030501.9	EBNA1 binding protein 2 	1499	2	1	0	1	0	mmu-miR-574-5p	0.0163	0.1098	0.4930	-0.52	-0.57	< 0.1
Deptor	ENSMUST00000096433.4	DEP domain containing MTOR-interacting protein 	2277	7*	0	4	0	0	mmu-miR-574-5p	0.0720	0.4653	1.8902	-0.52	-0.53	< 0.1
Trim65	ENSMUST00000067632.3	tripartite motif-containing 65 	76	6*	1	1	0	0	mmu-miR-574-5p	0.0699	0.3828	1.0792	-0.52	-0.52	< 0.1
Batf3	ENSMUST00000027943.4	basic leucine zipper transcription factor, ATF-like 3 	52	1	1	0	0	0	mmu-miR-574-5p	0.0194	0.1277	0.5197	-0.52	-0.52	< 0.1
Myadm	ENSMUST00000164553.2	myeloid-associated differentiation marker 	607	3	0	2	1	0	mmu-miR-574-5p	0.0375	0.2500	1.0913	-0.52	-0.63	< 0.1
Ndp	ENSMUST00000040134.7	Norrie disease (pseudoglioma) (human) 	5	1	1	0	0	0	mmu-miR-574-5p	0.0667	0.3455	0.7960	-0.52	-0.52	< 0.1
Rnf146	ENSMUST00000037548.5	ring finger protein 146 	590	2	1	0	1	0	mmu-miR-574-5p	0.0474	0.2723	0.7754	-0.52	-0.71	< 0.1
Onecut3	ENSMUST00000051773.8	one cut domain, family member 3 	5	8*	4	0	0	0	mmu-miR-574-5p	0.1012	0.6391	2.3317	-0.51	-0.51	< 0.1
E2f8	ENSMUST00000058745.9	E2F transcription factor 8 	453	3*	1	0	0	0	mmu-miR-574-5p	0.0892	0.4209	0.8552	-0.51	-0.51	< 0.1
Was	ENSMUST00000033505.6	Wiskott-Aldrich syndrome homolog (human) 	26	1	1	0	0	0	mmu-miR-574-5p	0.0348	0.2108	0.6728	-0.51	-0.51	< 0.1
Ccnd2	ENSMUST00000000188.8	cyclin D2 	9744	2	0	2	0	2	mmu-miR-574-5p	0.0424	0.2921	1.4944	-0.51	-0.52	< 0.1
Comt	ENSMUST00000165430.2	catechol-O-methyltransferase 	2214	1	1	0	0	0	mmu-miR-574-5p	0.0463	0.2696	0.8166	-0.51	-0.51	< 0.1
Fhl1	ENSMUST00000114769.3	four and a half LIM domains 1 	16936	1	1	0	0	0	mmu-miR-574-5p	0.0527	0.2910	0.7492	-0.51	-0.51	< 0.1
Ankrd16	ENSMUST00000056108.6	ankyrin repeat domain 16 	464	1	1	0	0	0	mmu-miR-574-5p	0.0357	0.2151	0.6780	-0.51	-0.51	< 0.1
Msn	ENSMUST00000117399.1	moesin 	7837	2	1	1	0	0	mmu-miR-574-5p	0.0768	0.4186	1.2463	-0.51	-0.51	< 0.1
Pvrl2	ENSMUST00000108450.3	poliovirus receptor-related 2 	698	2	1	0	1	0	mmu-miR-574-5p	0.0198	0.1332	0.6156	-0.51	-0.52	< 0.1
Wbscr28	ENSMUST00000047305.5	Williams-Beuren syndrome chromosome region 28 (human) 	5	1	1	0	0	0	mmu-miR-574-5p	0.0219	0.1431	0.5798	-0.50	-0.50	< 0.1
Sfxn1	ENSMUST00000021930.8	sideroflexin 1 	679	2	1	0	1	1	mmu-miR-574-5p	0.0422	0.2628	0.9961	-0.50	-0.50	< 0.1
Bpi	ENSMUST00000065039.2	bactericidal permeablility increasing protein 	5	1	1	0	0	0	mmu-miR-574-5p	0.0328	0.2008	0.6623	-0.50	-0.50	< 0.1
G6pc	ENSMUST00000019469.2	glucose-6-phosphatase, catalytic 	2389	1	1	0	0	0	mmu-miR-574-5p	0.0419	0.2466	0.7508	-0.50	-0.50	< 0.1
Nsmce2	ENSMUST00000168722.1	non-SMC element 2 homolog (MMS21, S. cerevisiae) 	75	2	1	0	1	0	mmu-miR-574-5p	0.0265	0.1731	0.7113	-0.49	-0.50	< 0.1
Tmem52b	ENSMUST00000032263.5	transmembrane protein 52B 	482	6*	1	0	1	0	mmu-miR-574-5p	0.0667	0.3627	1.0482	-0.49	-0.67	< 0.1
Prpf31	ENSMUST00000008517.7	PRP31 pre-mRNA processing factor 31 homolog (yeast) 	1615	1	1	0	0	0	mmu-miR-574-5p	0.0304	0.1882	0.6311	-0.49	-0.49	< 0.1
Vmac	ENSMUST00000164907.1	vimentin-type intermediate filament associated coiled-coil protein 	43	2	1	0	1	0	mmu-miR-574-5p	0.0335	0.2151	0.8438	-0.49	-0.54	< 0.1
Gm12184	ENSMUST00000104959.1	predicted gene 12184 	12	2	1	0	1	0	mmu-miR-574-5p	0.0255	0.1636	0.6163	-0.49	-0.51	< 0.1
Mettl11b	ENSMUST00000159679.2	methyltransferase like 11B 	83	2	1	0	1	1	mmu-miR-574-5p	0.0531	0.3165	1.0913	-0.49	-0.70	< 0.1
Cpne4	ENSMUST00000057742.9	copine IV 	22	2	0	2	0	0	mmu-miR-574-5p	0.0393	0.2489	0.9260	-0.49	-0.55	< 0.1
Cend1	ENSMUST00000084436.4	cell cycle exit and neuronal differentiation 1 	22	3*	1	0	0	0	mmu-miR-574-5p	0.0518	0.2763	0.6949	-0.49	-0.62	< 0.1
Insig1	ENSMUST00000059155.10	insulin induced gene 1 	5734	2	2	0	0	0	mmu-miR-574-5p	0.0337	0.2224	0.9839	-0.49	-0.49	< 0.1
Anks4b	ENSMUST00000033201.5	ankyrin repeat and sterile alpha motif domain containing 4B 	656	11*	1	0	0	1	mmu-miR-574-5p	0.0374	0.2403	0.9743	-0.49	-0.49	< 0.1
Gng5	ENSMUST00000118280.1	guanine nucleotide binding protein (G protein), gamma 5 	187	1	1	0	0	0	mmu-miR-574-5p	0.0633	0.3376	0.8495	-0.49	-0.49	< 0.1
Zfp957	ENSMUST00000161649.2	zinc finger protein 957 	5	1	1	0	0	0	mmu-miR-574-5p	0.0444	0.2591	0.7749	-0.49	-0.49	< 0.1
Plcxd3	ENSMUST00000061925.4	phosphatidylinositol-specific phospholipase C, X domain containing 3 	54	9*	2	0	1	1	mmu-miR-574-5p	0.1253	0.6836	2.0167	-0.49	-0.55	< 0.1
Ly6h	ENSMUST00000163116.2	lymphocyte antigen 6 complex, locus H 	5	1	1	0	0	0	mmu-miR-574-5p	0.0366	0.2222	0.7279	-0.49	-0.49	< 0.1
3110070M22Rik	ENSMUST00000099148.2	RIKEN cDNA 3110070M22 gene 	14	1	1	0	0	0	mmu-miR-574-5p	0.0374	0.2289	0.7783	-0.49	-0.49	< 0.1
Crtap	ENSMUST00000084881.4	cartilage associated protein 	18	2	1	0	1	0	mmu-miR-574-5p	0.0491	0.2891	0.9153	-0.49	-0.53	< 0.1
Gm1968	ENSMUST00000100016.3	predicted gene 1968 	2	1	1	0	0	0	mmu-miR-574-5p	0.0427	0.2785	1.2376	-0.48	-0.48	< 0.1
D130052B06Rik	ENSMUST00000101371.2	RIKEN cDNA D130052B06 gene 	5	1	1	0	0	0	mmu-miR-574-5p	0.0382	0.2404	0.9231	-0.48	-0.48	< 0.1
Tlk1	ENSMUST00000038584.8	tousled-like kinase 1 	207	2	1	0	1	0	mmu-miR-574-5p	0.0415	0.2618	0.9956	-0.48	-0.72	< 0.1
Rad23b	ENSMUST00000030134.8	RAD23b homolog (S. cerevisiae) 	7870	1	1	0	0	0	mmu-miR-574-5p	0.0310	0.1913	0.6384	-0.48	-0.48	< 0.1
Tnfrsf13c	ENSMUST00000089161.3	tumor necrosis factor receptor superfamily, member 13c 	14	13*	1	1	0	2	mmu-miR-574-5p	0.0658	0.3940	1.3285	-0.48	-0.59	< 0.1
Htra4	ENSMUST00000084031.4	HtrA serine peptidase 4 	128	3*	1	0	0	0	mmu-miR-574-5p	0.0839	0.3973	0.8182	-0.48	-0.51	< 0.1
Tmem211	ENSMUST00000086615.2	transmembrane protein 211 	5	1	1	0	0	0	mmu-miR-574-5p	0.0555	0.3152	0.9265	-0.48	-0.48	< 0.1
Samd12	ENSMUST00000078673.7	sterile alpha motif domain containing 12 	126	9*	1	0	2	1	mmu-miR-574-5p	0.0541	0.3478	1.5082	-0.48	-0.52	< 0.1
Mctp1	ENSMUST00000125209.2	multiple C2 domains, transmembrane 1 	29	2	1	1	0	0	mmu-miR-574-5p	0.0641	0.3957	1.3413	-0.48	-0.48	< 0.1
Igsf8	ENSMUST00000139528.2	immunoglobulin superfamily, member 8 	1836	1	1	0	0	0	mmu-miR-574-5p	0.0383	0.2272	0.6847	-0.47	-0.47	< 0.1
Zfp74	ENSMUST00000108205.2	zinc finger protein 74 	131	4*	1	0	0	0	mmu-miR-574-5p	0.0768	0.3950	1.0825	-0.47	-0.57	< 0.1
Gatad1	ENSMUST00000007559.9	GATA zinc finger domain containing 1 	3292	1	1	0	0	1	mmu-miR-574-5p	0.0358	0.2114	0.6418	-0.47	-0.55	< 0.1
Map7d1	ENSMUST00000122129.2	MAP7 domain containing 1 	377	3*	1	1	0	0	mmu-miR-574-5p	0.0889	0.4142	0.8278	-0.47	-0.56	< 0.1
Sema7a	ENSMUST00000043059.7	sema domain, immunoglobulin domain (Ig), and GPI membrane anchor, (semaphorin) 7A 	252	1	1	0	0	0	mmu-miR-574-5p	0.0455	0.2783	0.9877	-0.47	-0.47	< 0.1
Olig3	ENSMUST00000053225.5	oligodendrocyte transcription factor 3 	9	1	1	0	0	0	mmu-miR-574-5p	0.0390	0.2335	0.7409	-0.47	-0.47	< 0.1
