GENEID	GeneSymbol	Chromosome	Biotype	Strand
ENSMUSG00000048538.8	Gm9826	chr1:7247963-7249261	processed_pseudogene	+
ENSMUSG00000103709.2	Nras-ps2	chr1:7259966-7260143	processed_pseudogene	-
ENSMUSG00000077244.3	Gm23274	chr1:7336027-7336156	snoRNA	+
ENSMUSG00000102768.2	Gm19002	chr1:7385675-7386686	processed_pseudogene	+
ENSMUSG00000097797.7	Gm26901	chr1:7419630-7468093	lncRNA	-
ENSMUSG00000103498.2	Gm18984	chr1:7480903-7482217	processed_pseudogene	+
ENSMUSG00000103067.2	Gm30414	chr1:7568192-7588373	lncRNA	+
ENSMUSG00000102320.2	Gm37791	chr1:7661870-7662155	processed_pseudogene	+
ENSMUSG00000104226.2	Gm7470	chr1:7667603-7669697	processed_pseudogene	+
ENSMUSG00000103903.2	Rps2-ps2	chr1:7734305-7735185	processed_pseudogene	+
ENSMUSG00000103557.2	Gm38216	chr1:7799085-7800789	processed_pseudogene	-
ENSMUSG00000025909.17	Sntg1	chr1:8431699-9370103	protein_coding	-
ENSMUSG00000102647.2	Gm38024	chr1:8521184-8523715	TEC	-
ENSMUSG00000086235.2	Gm16284	chr1:8538650-8539049	processed_pseudogene	-
ENSMUSG00000102253.2	Gm38259	chr1:8598004-8601537	TEC	-
ENSMUSG00002074990.1	ENSMUSG00002074990	chr1:8658839-8658948	miRNA	-
ENSMUSG00000103884.2	Gm37005	chr1:8713920-8715083	TEC	-
ENSMUSG00000084353.2	Gm15452	chr1:8862147-8862386	processed_pseudogene	-
ENSMUSG00000103933.2	Gm36964	chr1:8886066-8886263	processed_pseudogene	+
ENSMUSG00002075967.1	ENSMUSG00002075967	chr1:8886362-8886471	miRNA	+
ENSMUSG00000086195.2	Gm6152	chr1:8926152-8926491	processed_pseudogene	-
ENSMUSG00000104504.2	Gm7445	chr1:8926987-8927326	processed_pseudogene	+
ENSMUSG00000066693.3	Gm7493	chr1:9033220-9033845	processed_pseudogene	-
ENSMUSG00000102316.2	Gm37629	chr1:9261292-9262341	TEC	-
ENSMUSG00000103819.2	Gm38008	chr1:9328842-9329359	processed_pseudogene	-
ENSMUSG00000102871.2	Gm37143	chr1:9357147-9360405	TEC	+
ENSMUSG00000101571.3	Gm6187	chr1:9466998-9468912	processed_pseudogene	-
ENSMUSG00000104428.2	Gm18299	chr1:9509966-9510601	processed_pseudogene	-
ENSMUSG00000102272.2	Gm7512	chr1:9520804-9521973	processed_pseudogene	+
ENSMUSG00000065625.3	Gm24765	chr1:9528895-9528997	snRNA	+
ENSMUSG00000103411.2	Gm18300	chr1:9569563-9571747	processed_pseudogene	-
ENSMUSG00000061024.9	Rrs1	chr1:9615633-9617680	protein_coding	+
ENSMUSG00000025911.15	Adhfe1	chr1:9618173-9650898	protein_coding	+
ENSMUSG00000079671.9	2610203C22Rik	chr1:9631057-9701400	lncRNA	-
ENSMUSG00000081441.4	Gm6161	chr1:9644773-9645874	processed_pseudogene	+
ENSMUSG00000067879.4	Vxn	chr1:9671424-9697368	protein_coding	+
ENSMUSG00000099827.2	Gm29520	chr1:9709480-9710807	lncRNA	-
ENSMUSG00000025912.17	Mybl1	chr1:9737640-9770434	protein_coding	-
ENSMUSG00000045210.9	Vcpip1	chr1:9788847-9818607	protein_coding	-
ENSMUSG00000097893.9	1700034P13Rik	chr1:9817873-9862149	lncRNA	+
ENSMUSG00000025915.15	Sgk3	chr1:9868332-9971070	protein_coding	+
ENSMUSG00000046334.5	Gm6195	chr1:9872422-9872778	processed_pseudogene	-
ENSMUSG00002075801.1	U6	chr1:9904723-9904827	snRNA	-
ENSMUSG00000046101.17	Mcmdc2	chr1:9978863-10012310	protein_coding	+
ENSMUSG00000098234.8	Snhg6	chr1:10012184-10014343	lncRNA	-
ENSMUSG00000093178.3	Snord87	chr1:10012688-10012774	snoRNA	-
ENSMUSG00000099032.3	Tcf24	chr1:10030388-10038157	protein_coding	-
ENSMUSG00000104025.2	E330040D14Rik	chr1:10037539-10038912	TEC	+
ENSMUSG00000025916.11	Ppp1r42	chr1:10038849-10079361	protein_coding	-
ENSMUSG00000087199.2	Gm15818	chr1:10052612-10062591	lncRNA	+
ENSMUSG00000119658.1	Gm24674	chr1:10080039-10080142	snRNA	-
ENSMUSG00000025917.10	Cops5	chr1:10094826-10108393	protein_coding	-
ENSMUSG00000056763.17	Cspp1	chr1:10108212-10206993	protein_coding	+
ENSMUSG00000102356.2	1700047N06Rik	chr1:10127250-10128169	TEC	-
ENSMUSG00000067851.12	Arfgef1	chr1:10207796-10302895	protein_coding	-
ENSMUSG00002076532.1	7SK	chr1:10236764-10237003	misc_RNA	+
ENSMUSG00000102556.2	Gm37569	chr1:10267306-10269027	TEC	-
ENSMUSG00000042501.13	Cpa6	chr1:10394945-10790170	protein_coding	-
ENSMUSG00000103810.2	Gm38005	chr1:10519470-10522214	TEC	-
ENSMUSG00000083422.2	Gm15604	chr1:10624323-10625778	processed_pseudogene	-
ENSMUSG00000119312.1	Gm25253	chr1:10625779-10625885	snRNA	-
ENSMUSG00000081417.2	Gm15603	chr1:10765348-10765839	processed_pseudogene	+
ENSMUSG00000103448.2	Gm37133	chr1:10852681-10854602	TEC	-
ENSMUSG00000100212.2	Gm5522	chr1:10875505-10876746	processed_pseudogene	+
ENSMUSG00000100648.2	Gm28659	chr1:10938912-10939670	processed_pseudogene	+
ENSMUSG00002076499.1	SNORA66	chr1:10991894-10991984	snoRNA	+
ENSMUSG00000048960.14	Prex2	chr1:11063689-11373905	protein_coding	+
ENSMUSG00000077318.3	Gm24173	chr1:11204335-11204462	snoRNA	-
ENSMUSG00000101827.2	Gm28686	chr1:11293790-11294398	processed_pseudogene	-
ENSMUSG00000103494.2	Gm37410	chr1:11434150-11437188	TEC	-
ENSMUSG00000057715.14	A830018L16Rik	chr1:11484329-12046125	protein_coding	+
ENSMUSG00000103825.2	Gm38178	chr1:11487142-11489612	TEC	+
ENSMUSG00000099845.2	Gm29273	chr1:11678363-11678624	processed_pseudogene	-
ENSMUSG00000103561.2	Gm38069	chr1:11774431-11776574	TEC	+
ENSMUSG00000101610.2	Gm7560	chr1:12191184-12192056	processed_pseudogene	+
ENSMUSG00000118923.1	Gm22633	chr1:12445160-12445266	snRNA	+
ENSMUSG00000098555.3	Mir6341	chr1:12496210-12496330	miRNA	+
ENSMUSG00000097628.2	Gm2383	chr1:12635801-12636607	processed_pseudogene	+
ENSMUSG00000098163.2	Gm6216	chr1:12726091-12726777	processed_pseudogene	+
ENSMUSG00000097171.2	Gm17644	chr1:12737787-12743314	lncRNA	+
ENSMUSG00000101314.2	Gm29663	chr1:12740548-12741400	lncRNA	-
ENSMUSG00000016918.16	Sulf1	chr1:12762501-12931416	protein_coding	+
ENSMUSG00000025938.17	Slco5a1	chr1:12936773-13062874	protein_coding	-
ENSMUSG00000104518.2	Gm37162	chr1:13129625-13130175	TEC	-
ENSMUSG00000069620.7	Gm5250	chr1:13132249-13132569	processed_pseudogene	+
ENSMUSG00000099498.2	Gm29283	chr1:13139062-13148886	lncRNA	+
ENSMUSG00000042414.8	Prdm14	chr1:13183681-13197387	protein_coding	-
ENSMUSG00000005886.15	Ncoa2	chr1:13209329-13444307	protein_coding	-
ENSMUSG00000103506.2	Gm38376	chr1:13247686-13249938	TEC	-
ENSMUSG00000103495.2	Gm37409	chr1:13305033-13306658	TEC	-
ENSMUSG00002076346.1	ENSMUSG00002076346	chr1:13332422-13332503	miRNA	+
ENSMUSG00000102639.2	Gm38223	chr1:13360036-13360730	TEC	-
ENSMUSG00000104170.2	Gm37702	chr1:13367260-13369131	TEC	-
ENSMUSG00000087782.3	Gm23169	chr1:13404722-13404833	snRNA	-
ENSMUSG00000103085.2	Gm38120	chr1:13413787-13418428	TEC	-
ENSMUSG00000102664.2	Gm38380	chr1:13424707-13426954	TEC	-
ENSMUSG00000101476.2	Gm29570	chr1:13446294-13458637	lncRNA	+
ENSMUSG00000101171.2	Gm7593	chr1:13477236-13477879	processed_pseudogene	-
ENSMUSG00000025935.11	Tram1	chr1:13634922-13660134	protein_coding	-
ENSMUSG00000025937.7	Lactb2	chr1:13693554-13730770	protein_coding	-
ENSMUSG00000102982.2	Gm38319	chr1:13711707-13712972	TEC	-
ENSMUSG00000067813.4	Xkr9	chr1:13738995-13771947	protein_coding	+
ENSMUSG00000077368.3	Gm26273	chr1:13844558-13844688	snoRNA	-
ENSMUSG00000097711.2	Gm5523	chr1:13856107-13857103	processed_pseudogene	-
ENSMUSG00000102166.2	Gm36947	chr1:13917095-13919343	TEC	-
ENSMUSG00002075174.1	7SK	chr1:14002602-14002909	misc_RNA	+
ENSMUSG00000104209.2	Gm37400	chr1:14179439-14183043	TEC	-
ENSMUSG00000025932.15	Eya1	chr1:14239178-14380459	protein_coding	-
ENSMUSG00002075819.1	ENSMUSG00002075819	chr1:14252802-14252901	miRNA	+
ENSMUSG00000102588.2	Gm37444	chr1:14325776-14326214	TEC	-
ENSMUSG00000054493.3	Gm9947	chr1:14823161-14847155	lncRNA	+
ENSMUSG00000025930.7	Msc	chr1:14823570-14826216	protein_coding	-
ENSMUSG00000103492.2	Gm37412	chr1:14858869-14863189	TEC	+
ENSMUSG00000081201.2	Smt3h2-ps4	chr1:14910093-14910380	processed_pseudogene	-
ENSMUSG00000082193.2	Rpl5-ps1	chr1:14935296-14936189	processed_pseudogene	+
ENSMUSG00000032769.6	Trpa1	chr1:14942872-14989086	protein_coding	-
ENSMUSG00000088159.3	Gm26345	chr1:15089264-15089383	snoRNA	-
ENSMUSG00000073737.4	Gm10566	chr1:15339026-15340021	processed_pseudogene	-
ENSMUSG00000092083.5	Kcnb2	chr1:15357478-15793974	protein_coding	+
ENSMUSG00000102937.2	Gm38116	chr1:15434526-15436058	TEC	+
ENSMUSG00000104149.2	Gm37138	chr1:15626473-15628561	TEC	+
ENSMUSG00000088829.3	Gm25227	chr1:15756159-15756270	snoRNA	-
ENSMUSG00000077377.3	Gm25168	chr1:15828056-15828187	snoRNA	+
ENSMUSG00000101652.2	Gm6060	chr1:15830346-15830892	processed_pseudogene	-
ENSMUSG00000100814.2	Gm28669	chr1:15830985-15831084	processed_pseudogene	+
ENSMUSG00000025925.15	Terf1	chr1:15875870-15914276	protein_coding	+
ENSMUSG00000104379.2	Gm37509	chr1:15923555-15926723	TEC	+
ENSMUSG00000032719.5	Sbspon	chr1:15924086-15962946	protein_coding	-
ENSMUSG00002076565.1	7SK	chr1:15949754-15950056	misc_RNA	+
ENSMUSG00000100652.2	Gm7634	chr1:16123559-16124111	processed_pseudogene	+
ENSMUSG00000067795.14	4930444P10Rik	chr1:16136203-16163549	protein_coding	-
ENSMUSG00000043716.14	Rpl7	chr1:16171519-16174886	protein_coding	-
ENSMUSG00000025921.8	Rdh10	chr1:16175998-16203958	protein_coding	+
ENSMUSG00000104165.2	Gm38249	chr1:16278421-16280741	TEC	-
ENSMUSG00000100868.2	Gm28095	chr1:16298730-16314286	lncRNA	+
ENSMUSG00000025920.20	Stau2	chr1:16298898-16590336	protein_coding	-
ENSMUSG00000089982.8	Gm7568	chr1:16323816-16338145	lncRNA	+
ENSMUSG00000025939.20	Ube2w	chr1:16611014-16689713	protein_coding	-
ENSMUSG00000102457.2	Gm38342	chr1:16688784-16691763	TEC	+
ENSMUSG00000079658.10	Eloc	chr1:16711949-16727266	protein_coding	-
ENSMUSG00000097744.2	D030040B21Rik	chr1:16727776-16732502	lncRNA	+
ENSMUSG00000100959.2	Idi1-ps5	chr1:16733204-16733886	processed_pseudogene	-
ENSMUSG00000025940.7	Tmem70	chr1:16735431-16748499	protein_coding	+
ENSMUSG00000025779.11	Ly96	chr1:16758275-16779835	protein_coding	+
ENSMUSG00000100093.2	Gm29649	chr1:16828429-16828847	processed_pseudogene	-
ENSMUSG00000091020.4	Gm5828	chr1:16838503-16840362	processed_pseudogene	-
ENSMUSG00000101640.2	Gm28376	chr1:16968409-17161855	lncRNA	+
ENSMUSG00000104133.2	4921511E07Rik	chr1:17001194-17002020	TEC	+
ENSMUSG00000042686.6	Jph1	chr1:17034784-17168113	protein_coding	-
ENSMUSG00000100110.2	Gm28783	chr1:17194971-17199180	lncRNA	+
ENSMUSG00000025777.9	Gdap1	chr1:17215586-17234495	protein_coding	+
ENSMUSG00000099899.2	Gm28784	chr1:17238627-17243327	lncRNA	+
ENSMUSG00000100272.2	Gm28785	chr1:17320338-17320716	processed_pseudogene	-
ENSMUSG00000100398.2	Gm5251	chr1:17465182-17465653	processed_pseudogene	+
ENSMUSG00000101589.2	Rbm6-ps1	chr1:17467636-17470505	processed_pseudogene	-
ENSMUSG00000102048.2	Gm6075	chr1:17499267-17499752	processed_pseudogene	-
ENSMUSG00000089534.3	Gm25166	chr1:17590225-17590335	snoRNA	+
ENSMUSG00000067780.4	Pi15	chr1:17672125-17701163	protein_coding	+
ENSMUSG00000100053.2	Gm28154	chr1:17685308-17711305	lncRNA	-
ENSMUSG00000085125.8	Gm16070	chr1:17746251-17797870	lncRNA	-
ENSMUSG00000025776.14	Crispld1	chr1:17797269-17836568	protein_coding	+
ENSMUSG00000099895.2	Gm28153	chr1:17812139-17875641	lncRNA	-
ENSMUSG00000100554.2	Gm7690	chr1:18017265-18018663	processed_pseudogene	+
ENSMUSG00000099473.2	Gm18775	chr1:18063234-18069846	transcribed_unprocessed_pseudogene	-
ENSMUSG00000099591.2	Gm17969	chr1:18064037-18067707	processed_pseudogene	+
ENSMUSG00000109887.2	Gm28756	chr1:18064686-18129280	lncRNA	-
ENSMUSG00000102001.2	Gm28755	chr1:18076185-18086410	unprocessed_pseudogene	-
ENSMUSG00000101717.3	Gm45784	chr1:18118324-18128493	transcribed_unprocessed_pseudogene	-
ENSMUSG00000025774.15	Crisp4	chr1:18185415-18216126	protein_coding	-
ENSMUSG00000070977.5	Defb44-ps	chr1:18280277-18293788	unprocessed_pseudogene	-
ENSMUSG00000073735.2	Defb18	chr1:18306697-18307667	protein_coding	-
ENSMUSG00000067773.7	Defb41	chr1:18321204-18335362	protein_coding	-
ENSMUSG00000101685.2	Gm17837	chr1:18332619-18333603	processed_pseudogene	-
ENSMUSG00000101306.2	Gm5252	chr1:18778652-18779560	processed_pseudogene	+
ENSMUSG00000088800.4	Gm24075	chr1:19039986-19040057	snoRNA	-
ENSMUSG00000101644.2	Gm28343	chr1:19107490-19107601	processed_pseudogene	+
ENSMUSG00000099433.2	Gm28344	chr1:19133081-19133359	processed_pseudogene	+
ENSMUSG00000089787.3	Gm15825	chr1:19133524-19175064	lncRNA	-
ENSMUSG00000042596.8	Tfap2d	chr1:19173246-19236570	protein_coding	+
ENSMUSG00000100720.2	Gm10075	chr1:19223646-19224190	processed_pseudogene	-
ENSMUSG00000025927.14	Tfap2b	chr1:19279138-19308800	protein_coding	+
ENSMUSG00000100538.2	Gm28340	chr1:19312949-19313993	lncRNA	+
ENSMUSG00000101117.2	Gm28341	chr1:19390450-19390921	processed_pseudogene	-
ENSMUSG00000100204.2	Gm4849	chr1:19401163-19403408	processed_pseudogene	+
ENSMUSG00002076883.1	SNORD29	chr1:19584079-19584143	snoRNA	-
ENSMUSG00000102597.2	Gm38382	chr1:19684493-19686991	TEC	+
ENSMUSG00000043760.17	Pkhd1	chr1:20128003-20688288	protein_coding	-
ENSMUSG00000104095.2	Gm37315	chr1:20132294-20135772	TEC	-
ENSMUSG00000089914.3	4930486I03Rik	chr1:20426676-20462524	lncRNA	+
ENSMUSG00000090142.3	Gm15795	chr1:20514482-20515034	processed_pseudogene	-
ENSMUSG00000070175.3	Gm24162	chr1:20515035-20515136	snRNA	-
ENSMUSG00000099906.3	Lincmd1	chr1:20740106-20754522	lncRNA	+
ENSMUSG00000065559.3	Mir206	chr1:20749234-20749306	miRNA	+
ENSMUSG00000065480.3	Mir133b	chr1:20752993-20753111	miRNA	+
ENSMUSG00000025929.5	Il17a	chr1:20801129-20804720	protein_coding	+
ENSMUSG00000041872.10	Il17f	chr1:20847370-20860841	protein_coding	-
ENSMUSG00000041859.11	Mcm3	chr1:20873192-20890536	protein_coding	-
ENSMUSG00000099714.2	Gm20587	chr1:20891555-20892740	processed_pseudogene	+
ENSMUSG00000102121.2	Gm28065	chr1:20906885-20909913	lncRNA	+
ENSMUSG00000088858.3	Gm24723	chr1:20912759-20912890	snoRNA	-
ENSMUSG00000097934.2	6720483E21Rik	chr1:20958874-20960697	lncRNA	-
ENSMUSG00000025931.16	Paqr8	chr1:20960830-21009874	protein_coding	+
ENSMUSG00000077314.3	Gm24171	chr1:20985634-20985764	snoRNA	-
ENSMUSG00000100929.2	Gm28064	chr1:21015935-21017138	processed_pseudogene	+
ENSMUSG00000041809.6	Efhc1	chr1:21021850-21061065	protein_coding	+
ENSMUSG00000041779.6	Tram2	chr1:21066523-21149453	protein_coding	-
ENSMUSG00000099971.2	Gm28287	chr1:21150338-21151972	lncRNA	+
ENSMUSG00000100819.2	Gm2693	chr1:21249212-21257651	unprocessed_pseudogene	+
ENSMUSG00000025933.16	Tmem14a	chr1:21288799-21300391	protein_coding	+
ENSMUSG00000102633.2	Gm38224	chr1:21304946-21307045	TEC	+
ENSMUSG00000025934.16	Gsta3	chr1:21310813-21335885	protein_coding	+
ENSMUSG00000099343.2	Gm28836	chr1:21320583-21341817	lncRNA	-
ENSMUSG00000096375.3	Gm7094	chr1:21342627-21343130	unprocessed_pseudogene	+
ENSMUSG00000025936.16	Gm4956	chr1:21355470-21368536	transcribed_unprocessed_pseudogene	-
ENSMUSG00000093963.2	Gm21909	chr1:21382741-21386544	unprocessed_pseudogene	-
ENSMUSG00000067750.4	Khdc1a	chr1:21419865-21422424	protein_coding	+
ENSMUSG00000086194.2	Gm16329	chr1:21424229-21425340	unprocessed_pseudogene	+
ENSMUSG00000094436.2	Gm16327	chr1:21435027-21435254	processed_pseudogene	+
ENSMUSG00000041722.8	Khdc1c	chr1:21438555-21441069	protein_coding	+
ENSMUSG00000085507.2	Gm2709	chr1:21442894-21443988	unprocessed_pseudogene	+
ENSMUSG00000094926.2	Gm16533	chr1:21449779-21450006	processed_pseudogene	+
ENSMUSG00000085079.4	Khdc1b	chr1:21453780-21456597	protein_coding	+
ENSMUSG00000085679.3	Gm16328	chr1:21461130-21461325	processed_pseudogene	+
ENSMUSG00000028033.17	Kcnq5	chr1:21468627-22032166	protein_coding	-
ENSMUSG00000104138.2	Gm36949	chr1:21524915-21527241	TEC	-
ENSMUSG00000082935.4	Gm7658	chr1:21582157-21583280	processed_pseudogene	-
ENSMUSG00000103748.2	Gm38243	chr1:21909172-21910738	TEC	-
ENSMUSG00000099692.2	Gm5696	chr1:22100288-22100839	processed_pseudogene	-
ENSMUSG00000100418.2	Gm28239	chr1:22308073-22308519	processed_pseudogene	+
ENSMUSG00000041670.20	Rims1	chr1:22356475-22845203	protein_coding	-
ENSMUSG00000097642.2	Gm26866	chr1:22779845-22780646	processed_pseudogene	+
ENSMUSG00000101468.2	Gm7761	chr1:23023944-23026206	processed_pseudogene	-
ENSMUSG00000101227.2	Gm29506	chr1:23087376-23274754	lncRNA	-
ENSMUSG00000073730.3	Ppp1r14bl	chr1:23139554-23141334	protein_coding	-
ENSMUSG00000089553.3	Gm24176	chr1:23284292-23284412	snoRNA	+
ENSMUSG00000102766.2	Gm6420	chr1:23294766-23295488	TEC	-
ENSMUSG00000065405.5	Mir30a	chr1:23311350-23311420	miRNA	+
ENSMUSG00000097970.2	Gm27028	chr1:23330618-23331016	lncRNA	+
ENSMUSG00000065567.3	Mir30c-2	chr1:23330782-23330865	miRNA	+
ENSMUSG00000100775.2	Gm29107	chr1:23332810-23333156	lncRNA	+
ENSMUSG00000101226.2	Gm20954	chr1:23385037-23385680	processed_pseudogene	-
ENSMUSG00000026158.12	Ogfrl1	chr1:23405505-23436853	protein_coding	-
ENSMUSG00000097920.2	Gm7784	chr1:23518620-23519608	processed_pseudogene	+
ENSMUSG00000099503.2	Gm28822	chr1:23613668-23635745	lncRNA	+
ENSMUSG00000026156.9	B3gat2	chr1:23800834-23888239	protein_coding	+
ENSMUSG00000026155.14	Smap1	chr1:23883927-23961398	protein_coding	-
ENSMUSG00000026154.5	Sdhaf4	chr1:24035020-24044737	protein_coding	-
ENSMUSG00000102495.2	Gm26524	chr1:24044586-24044975	TEC	+
ENSMUSG00000026153.16	Fam135a	chr1:24050174-24139422	protein_coding	-
ENSMUSG00000102398.2	Gm37580	chr1:24139706-24142505	TEC	+
ENSMUSG00000097670.2	Gm26607	chr1:24164356-24165222	processed_pseudogene	+
ENSMUSG00000026147.17	Col9a1	chr1:24216691-24291765	protein_coding	+
ENSMUSG00000026141.14	Col19a1	chr1:24300971-24626553	protein_coding	-
ENSMUSG00000077463.3	Gm26418	chr1:24587922-24588058	snoRNA	-
ENSMUSG00000099997.2	Tubb4b-ps2	chr1:24633168-24634504	processed_pseudogene	-
ENSMUSG00000100131.2	Gm28439	chr1:24650616-24651491	unprocessed_pseudogene	-
ENSMUSG00000067736.3	Gm10222	chr1:24651488-24651781	unprocessed_pseudogene	-
ENSMUSG00000101939.2	Gm28438	chr1:24651856-24652200	unprocessed_pseudogene	-
ENSMUSG00000101111.2	Gm28437	chr1:24652270-24653052	unprocessed_pseudogene	-
ENSMUSG00000100862.2	Gm10925	chr1:24653055-24653732	unprocessed_pseudogene	-
ENSMUSG00000102070.2	Gm28661	chr1:24653966-24654646	unprocessed_pseudogene	-
ENSMUSG00000101249.2	Gm29216	chr1:24654787-24655278	unprocessed_pseudogene	-
ENSMUSG00000073725.9	Lmbrd1	chr1:24717711-24805382	protein_coding	+
ENSMUSG00000100808.2	Gm28594	chr1:24949542-24950740	processed_pseudogene	-
ENSMUSG00000100483.2	Gm28237	chr1:25002290-25004239	lncRNA	-
ENSMUSG00000100450.2	Gm9443	chr1:25051022-25051837	processed_pseudogene	+
ENSMUSG00000099392.2	Gm29414	chr1:25065662-25066313	lncRNA	-
ENSMUSG00000033569.18	Adgrb3	chr1:25106557-25868788	protein_coding	-
ENSMUSG00000080849.2	Gm15702	chr1:25262811-25263254	processed_pseudogene	+
