GeneSymbol_Plus	GENEID_Plus	Biotype_Plus	Location_Plus	Strand_Plus	GeneSymbol_Minus	GENEID_Minus	Biotype_Minus	Location_Minus	Strand_Minus
Epm2a	ENSMUSG00000055493.5	protein_coding	chr10:11219197-11324442	+	Rpl17-ps11	ENSMUSG00000090242.2	processed_pseudogene	chr10:11262619-11263347	-
Gm26596	ENSMUSG00000097185.2	TEC	chr10:112764406-112767060	+	Atxn7l3b	ENSMUSG00000074748.4	protein_coding	chr10:112761335-112764900	-
4930473D10Rik	ENSMUSG00000089934.2	lncRNA	chr10:114593652-114621009	+	Trhde	ENSMUSG00000050663.9	protein_coding	chr10:114402072-114638212	-
Gm15723	ENSMUSG00000084865.2	lncRNA	chr10:114637631-114652736	+	Trhde	ENSMUSG00000050663.9	protein_coding	chr10:114402072-114638212	-
A930009A15Rik	ENSMUSG00000092210.2	protein_coding	chr10:115405891-115418353	+	Lgr5	ENSMUSG00000020140.16	protein_coding	chr10:115356438-115423648	-
Tspan8	ENSMUSG00000034127.16	protein_coding	chr10:115652737-115669217	+	4930422I22Rik	ENSMUSG00000112513.2	lncRNA	chr10:115638321-115705427	-
Tspan8	ENSMUSG00000034127.16	protein_coding	chr10:115653176-115685525	+	4930422I22Rik	ENSMUSG00000112513.2	lncRNA	chr10:115638321-115705427	-
Tspan8	ENSMUSG00000034127.16	protein_coding	chr10:115653188-115685798	+	4930422I22Rik	ENSMUSG00000112513.2	lncRNA	chr10:115638321-115705427	-
Tspan8	ENSMUSG00000034127.16	protein_coding	chr10:115653189-115685520	+	4930422I22Rik	ENSMUSG00000112513.2	lncRNA	chr10:115638321-115705427	-
Ptprr	ENSMUSG00000020151.17	protein_coding	chr10:115854118-116110837	+	Taf7l2	ENSMUSG00000074734.4	protein_coding	chr10:115948388-115949497	-
Ptprr	ENSMUSG00000020151.17	protein_coding	chr10:115854192-115950864	+	Taf7l2	ENSMUSG00000074734.4	protein_coding	chr10:115948388-115949497	-
Kcnmb4os1	ENSMUSG00000020164.8	lncRNA	chr10:116253957-116257142	+	Kcnmb4	ENSMUSG00000054934.11	protein_coding	chr10:116253766-116309783	-
Kcnmb4os2	ENSMUSG00000085837.9	lncRNA	chr10:116309068-116310887	+	Kcnmb4	ENSMUSG00000054934.11	protein_coding	chr10:116298551-116309327	-
5330438D12Rik	ENSMUSG00000052291.9	lncRNA	chr10:116344957-116358488	+	Cnot2	ENSMUSG00000020166.16	protein_coding	chr10:116321070-116385068	-
5330438D12Rik	ENSMUSG00000052291.9	lncRNA	chr10:116344964-116419154	+	ENSMUSG00002076243	ENSMUSG00002076243.1	miRNA	chr10:116367551-116367645	-
Gm49344	ENSMUSG00000112881.2	TEC	chr10:116402687-116403936	+	Cnot2	ENSMUSG00000020166.16	protein_coding	chr10:116321066-116417416	-
5330438D12Rik	ENSMUSG00000052291.9	lncRNA	chr10:116417186-116419420	+	Cnot2	ENSMUSG00000020166.16	protein_coding	chr10:116321066-116417416	-
4933412E12Rik	ENSMUSG00000112627.2	lncRNA	chr10:116785662-116795003	+	Gm10271	ENSMUSG00000069518.6	protein_coding	chr10:116792729-116808514	-
4933412E12Rik	ENSMUSG00000112627.2	lncRNA	chr10:116786472-116795209	+	Gm10271	ENSMUSG00000069518.6	protein_coding	chr10:116792729-116808514	-
4933412E12Rik	ENSMUSG00000112627.2	lncRNA	chr10:116786493-116799184	+	Gm10271	ENSMUSG00000069518.6	protein_coding	chr10:116792729-116808514	-
D630029K05Rik	ENSMUSG00000031294.10	lncRNA	chr10:116800612-116803301	+	Gm10271	ENSMUSG00000069518.6	protein_coding	chr10:116792729-116808514	-
D630029K05Rik	ENSMUSG00000031294.10	lncRNA	chr10:116800645-116803487	+	Gm10271	ENSMUSG00000069518.6	protein_coding	chr10:116792729-116808514	-
D630029K05Rik	ENSMUSG00000031294.10	lncRNA	chr10:116801660-116803617	+	Gm10271	ENSMUSG00000069518.6	protein_coding	chr10:116792729-116808514	-
D630029K05Rik	ENSMUSG00000031294.10	lncRNA	chr10:116802179-116805010	+	Gm10271	ENSMUSG00000069518.6	protein_coding	chr10:116792729-116808514	-
Cpm	ENSMUSG00000020183.12	protein_coding	chr10:117465405-117504141	+	Gm25709	ENSMUSG00000118970.1	snRNA	chr10:117498187-117498293	-
Cpm	ENSMUSG00000020183.12	protein_coding	chr10:117465405-117523257	+	Gm25709	ENSMUSG00000118970.1	snRNA	chr10:117498187-117498293	-
Gm40773	ENSMUSG00000112458.2	lncRNA	chr10:117700575-117703980	+	Gm32552	ENSMUSG00000112711.2	lncRNA	chr10:117699586-117702620	-
Mdm1	ENSMUSG00000020212.15	protein_coding	chr10:117977737-118004902	+	Gm47958	ENSMUSG00000112684.2	lncRNA	chr10:117999890-118001067	-
Mdm1	ENSMUSG00000020212.15	protein_coding	chr10:117977764-118004286	+	Gm47958	ENSMUSG00000112684.2	lncRNA	chr10:117999890-118001067	-
Mdm1	ENSMUSG00000020212.15	protein_coding	chr10:117977829-118004902	+	Gm47958	ENSMUSG00000112684.2	lncRNA	chr10:117999890-118001067	-
Mdm1	ENSMUSG00000020212.15	protein_coding	chr10:117977850-118004068	+	Gm47958	ENSMUSG00000112684.2	lncRNA	chr10:117999890-118001067	-
4932442E05Rik	ENSMUSG00000104443.2	TEC	chr10:118696731-118699447	+	Dyrk2	ENSMUSG00000028630.10	protein_coding	chr10:118691508-118705054	-
Grip1	ENSMUSG00000034813.20	protein_coding	chr10:119289735-119911502	+	Gm47027	ENSMUSG00000112555.2	lncRNA	chr10:119436268-119453625	-
Grip1	ENSMUSG00000034813.20	protein_coding	chr10:119289735-119913044	+	Gm47027	ENSMUSG00000112555.2	lncRNA	chr10:119436268-119453625	-
Grip1	ENSMUSG00000034813.20	protein_coding	chr10:119289735-119923165	+	Helb	ENSMUSG00000020228.12	protein_coding	chr10:119920613-119928114	-
Grip1	ENSMUSG00000034813.20	protein_coding	chr10:119527959-119767436	+	Grip1os2	ENSMUSG00000084764.2	lncRNA	chr10:119581968-119597604	-
Grip1	ENSMUSG00000034813.20	protein_coding	chr10:119527959-119912421	+	Grip1os2	ENSMUSG00000084764.2	lncRNA	chr10:119581968-119597604	-
Grip1	ENSMUSG00000034813.20	protein_coding	chr10:119655294-119913044	+	Grip1os1	ENSMUSG00000085418.2	lncRNA	chr10:119683080-119688182	-
Grip1	ENSMUSG00000034813.20	protein_coding	chr10:119655303-119912421	+	Grip1os1	ENSMUSG00000085418.2	lncRNA	chr10:119683080-119688182	-
Grip1	ENSMUSG00000034813.20	protein_coding	chr10:119655410-119846642	+	Grip1os1	ENSMUSG00000085418.2	lncRNA	chr10:119683080-119688182	-
Grip1	ENSMUSG00000034813.20	protein_coding	chr10:119655417-119911502	+	Grip1os1	ENSMUSG00000085418.2	lncRNA	chr10:119683080-119688182	-
Grip1	ENSMUSG00000034813.20	protein_coding	chr10:119655420-119911422	+	Grip1os1	ENSMUSG00000085418.2	lncRNA	chr10:119683080-119688182	-
Grip1	ENSMUSG00000034813.20	protein_coding	chr10:119655430-119922965	+	Helb	ENSMUSG00000020228.12	protein_coding	chr10:119920613-119928114	-
Grip1	ENSMUSG00000034813.20	protein_coding	chr10:119686644-119913039	+	Grip1os1	ENSMUSG00000085418.2	lncRNA	chr10:119683080-119688182	-
Grip1	ENSMUSG00000034813.20	protein_coding	chr10:119828625-119923166	+	Helb	ENSMUSG00000020228.12	protein_coding	chr10:119920613-119928114	-
Grip1	ENSMUSG00000034813.20	protein_coding	chr10:119829011-119923165	+	Helb	ENSMUSG00000020228.12	protein_coding	chr10:119920613-119928114	-
Gm47009	ENSMUSG00000112894.2	lncRNA	chr10:120004554-120006250	+	Irak3	ENSMUSG00000020227.11	protein_coding	chr10:119977553-120037564	-
Tmbim4	ENSMUSG00000020225.11	protein_coding	chr10:120037495-120039120	+	Irak3	ENSMUSG00000020227.11	protein_coding	chr10:119977553-120037564	-
Tmbim4	ENSMUSG00000020225.11	protein_coding	chr10:120037517-120039113	+	Irak3	ENSMUSG00000020227.11	protein_coding	chr10:119977553-120037564	-
Tmbim4	ENSMUSG00000020225.11	protein_coding	chr10:120037563-120053467	+	Irak3	ENSMUSG00000020227.11	protein_coding	chr10:119977553-120037564	-
1700006J14Rik	ENSMUSG00000034764.16	lncRNA	chr10:120200062-120218741	+	Hmga2	ENSMUSG00000056758.15	protein_coding	chr10:120197180-120312374	-
1700006J14Rik	ENSMUSG00000034764.16	lncRNA	chr10:120200063-120220241	+	Hmga2	ENSMUSG00000056758.15	protein_coding	chr10:120197180-120312374	-
1700006J14Rik	ENSMUSG00000034764.16	lncRNA	chr10:120200075-120216629	+	Hmga2	ENSMUSG00000056758.15	protein_coding	chr10:120197180-120312374	-
1700006J14Rik	ENSMUSG00000034764.16	lncRNA	chr10:120200118-120219734	+	Hmga2	ENSMUSG00000056758.15	protein_coding	chr10:120197180-120312374	-
9230105E05Rik	ENSMUSG00000090191.2	lncRNA	chr10:120225428-120228698	+	Hmga2	ENSMUSG00000056758.15	protein_coding	chr10:120197180-120312374	-
4921513I03Rik	ENSMUSG00000044544.5	lncRNA	chr10:120601637-120610386	+	Gm48202	ENSMUSG00000111907.2	lncRNA	chr10:120596726-120601933	-
4921513I03Rik	ENSMUSG00000044544.5	lncRNA	chr10:120601679-120614791	+	Gm48202	ENSMUSG00000111907.2	lncRNA	chr10:120596726-120601933	-
Gm15961	ENSMUSG00000086444.3	lncRNA	chr10:120636582-120637699	+	Msrb3	ENSMUSG00000051236.14	protein_coding	chr10:120619657-120686373	-
Gm15910	ENSMUSG00000087480.2	lncRNA	chr10:120693534-120699231	+	Msrb3	ENSMUSG00000051236.14	protein_coding	chr10:120619799-120707057	-
Gm16166	ENSMUSG00000082936.2	processed_pseudogene	chr10:120764091-120764877	+	Lemd3	ENSMUSG00000048661.15	protein_coding	chr10:120759318-120815237	-
Gm4478	ENSMUSG00000111940.2	processed_pseudogene	chr10:121179081-121179563	+	Tbc1d30	ENSMUSG00000052302.7	protein_coding	chr10:121178033-121183147	-
Gm48435	ENSMUSG00000112014.2	lncRNA	chr10:121186365-121187011	+	Tbc1d30	ENSMUSG00000052302.7	protein_coding	chr10:121137988-121187183	-
Gm48435	ENSMUSG00000112014.2	lncRNA	chr10:121186733-121187549	+	Tbc1d30	ENSMUSG00000052302.7	protein_coding	chr10:121137988-121187183	-
Gm35696	ENSMUSG00000112527.2	lncRNA	chr10:121342528-121362006	+	Gm50454	ENSMUSG00000118419.2	unprocessed_pseudogene	chr10:121359235-121368281	-
Gm36041	ENSMUSG00000112774.2	lncRNA	chr10:122222797-122270938	+	Gm48877	ENSMUSG00000112873.2	lncRNA	chr10:122241018-122382403	-
Avpr1a	ENSMUSG00000020123.7	protein_coding	chr10:122284404-122289357	+	Gm48877	ENSMUSG00000112873.2	lncRNA	chr10:122241018-122382403	-
Gm48878	ENSMUSG00000112794.2	TEC	chr10:122290037-122292714	+	Gm48877	ENSMUSG00000112873.2	lncRNA	chr10:122241018-122382403	-
Ppm1h	ENSMUSG00000034613.13	protein_coding	chr10:122514667-122716238	+	A430028G04Rik	ENSMUSG00000112417.2	TEC	chr10:122592343-122594315	-
Ppm1h	ENSMUSG00000034613.13	protein_coding	chr10:122514683-122757879	+	A430028G04Rik	ENSMUSG00000112417.2	TEC	chr10:122592343-122594315	-
Ppm1h	ENSMUSG00000034613.13	protein_coding	chr10:122514687-122781700	+	A430028G04Rik	ENSMUSG00000112417.2	TEC	chr10:122592343-122594315	-
Ppm1h	ENSMUSG00000034613.13	protein_coding	chr10:122593103-122647376	+	A430028G04Rik	ENSMUSG00000112417.2	TEC	chr10:122592343-122594315	-
Gm4129	ENSMUSG00000112294.2	lncRNA	chr10:123032600-123035323	+	ENSMUSG00002076638	ENSMUSG00002076638.1	miRNA	chr10:123032781-123032876	-
Gm45604	ENSMUSG00000109803.2	lncRNA	chr10:125144781-125146548	+	Slc16a7	ENSMUSG00000020102.16	protein_coding	chr10:125055139-125164832	-
Gm47862	ENSMUSG00000111943.2	TEC	chr10:125224408-125226876	+	Slc16a7	ENSMUSG00000020102.16	protein_coding	chr10:125175067-125225237	-
Gm6333	ENSMUSG00000112423.2	processed_pseudogene	chr10:126728982-126729777	+	Atp23	ENSMUSG00000025436.13	protein_coding	chr10:126704296-126737224	-
Avil	ENSMUSG00000025432.12	protein_coding	chr10:126836578-126856863	+	Tsfm	ENSMUSG00000040521.12	protein_coding	chr10:126847441-126866672	-
Avil	ENSMUSG00000025432.12	protein_coding	chr10:126839004-126856647	+	Tsfm	ENSMUSG00000040521.12	protein_coding	chr10:126847441-126866672	-
Mettl1	ENSMUSG00000006732.15	protein_coding	chr10:126877283-126879051	+	Eef1akmt3	ENSMUSG00000080115.4	protein_coding	chr10:126866873-126877382	-
Cdk4	ENSMUSG00000006728.13	protein_coding	chr10:126899403-126903789	+	Tspan31	ENSMUSG00000006736.10	protein_coding	chr10:126903149-126906133	-
Cdk4	ENSMUSG00000006728.13	protein_coding	chr10:126899483-126903166	+	Tspan31	ENSMUSG00000006736.10	protein_coding	chr10:126903149-126906133	-
B4galnt1	ENSMUSG00000006731.11	protein_coding	chr10:127001094-127008199	+	Slc26a10	ENSMUSG00000040441.13	protein_coding	chr10:127007262-127016451	-
B4galnt1	ENSMUSG00000006731.11	protein_coding	chr10:127001096-127008199	+	Slc26a10	ENSMUSG00000040441.13	protein_coding	chr10:127007262-127016451	-
F420014N23Rik	ENSMUSG00000097331.3	lncRNA	chr10:127031118-127036619	+	Dtx3	ENSMUSG00000040415.16	protein_coding	chr10:127026247-127031578	-
F420014N23Rik	ENSMUSG00000097331.3	lncRNA	chr10:127031118-127038512	+	Dtx3	ENSMUSG00000040415.16	protein_coding	chr10:127026247-127031578	-
Gm20492	ENSMUSG00000092593.2	lncRNA	chr10:127124383-127125550	+	Mbd6	ENSMUSG00000025409.15	protein_coding	chr10:127117825-127124759	-
Ddit3	ENSMUSG00000025408.16	protein_coding	chr10:127126643-127132157	+	Gm4189	ENSMUSG00000092384.8	lncRNA	chr10:127125565-127126657	-
Arhgap9	ENSMUSG00000040345.11	protein_coding	chr10:127159576-127165812	+	Gli1	ENSMUSG00000025407.8	protein_coding	chr10:127165751-127177843	-
Arhgap9	ENSMUSG00000040345.11	protein_coding	chr10:127159625-127165812	+	Gli1	ENSMUSG00000025407.8	protein_coding	chr10:127165751-127177843	-
Arhgap9	ENSMUSG00000040345.11	protein_coding	chr10:127160192-127165812	+	Gli1	ENSMUSG00000025407.8	protein_coding	chr10:127165751-127177843	-
Gm47200	ENSMUSG00000112426.2	lncRNA	chr10:127168260-127206275	+	Gli1	ENSMUSG00000025407.8	protein_coding	chr10:127173378-127175828	-
R3hdm2	ENSMUSG00000025404.16	protein_coding	chr10:127216196-127280260	+	Gm23819	ENSMUSG00000089369.3	snRNA	chr10:127240153-127240261	-
R3hdm2	ENSMUSG00000025404.16	protein_coding	chr10:127216531-127335229	+	Gm23819	ENSMUSG00000089369.3	snRNA	chr10:127240153-127240261	-
R3hdm2	ENSMUSG00000025404.16	protein_coding	chr10:127216668-127280201	+	Gm23819	ENSMUSG00000089369.3	snRNA	chr10:127240153-127240261	-
Gm7525	ENSMUSG00000112698.2	processed_pseudogene	chr10:12721832-12722285	+	Utrn	ENSMUSG00000019820.12	protein_coding	chr10:12596569-12743915	-
R3hdm2	ENSMUSG00000025404.16	protein_coding	chr10:127226180-127335252	+	Gm23819	ENSMUSG00000089369.3	snRNA	chr10:127240153-127240261	-
Ndufa4l2	ENSMUSG00000040280.11	protein_coding	chr10:127350836-127353023	+	Shmt2	ENSMUSG00000025403.6	protein_coding	chr10:127352992-127358255	-
Gm16217	ENSMUSG00000086499.2	lncRNA	chr10:127432417-127433739	+	Lrp1	ENSMUSG00000040249.16	protein_coding	chr10:127423496-127457017	-
Stat6	ENSMUSG00000002147.19	protein_coding	chr10:127478855-127496826	+	Nab2	ENSMUSG00000025402.13	protein_coding	chr10:127496787-127502579	-
Gm16229	ENSMUSG00000085731.2	lncRNA	chr10:127499708-127501353	+	Nab2	ENSMUSG00000025402.13	protein_coding	chr10:127500794-127501350	-
Nemp1	ENSMUSG00000040195.12	protein_coding	chr10:127502770-127504426	+	Nab2	ENSMUSG00000025402.13	protein_coding	chr10:127500853-127504437	-
Nemp1	ENSMUSG00000040195.12	protein_coding	chr10:127502992-127504720	+	Nab2	ENSMUSG00000025402.13	protein_coding	chr10:127500853-127504437	-
Nemp1	ENSMUSG00000040195.12	protein_coding	chr10:127503013-127532809	+	Nab2	ENSMUSG00000025402.13	protein_coding	chr10:127500853-127504437	-
Nemp1	ENSMUSG00000040195.12	protein_coding	chr10:127503035-127504431	+	Nab2	ENSMUSG00000025402.13	protein_coding	chr10:127500853-127504437	-
Zbtb39	ENSMUSG00000044617.9	protein_coding	chr10:127575407-127583218	+	Gpr182	ENSMUSG00000058396.8	protein_coding	chr10:127583145-127587601	-
Gls2	ENSMUSG00000044005.14	protein_coding	chr10:128030326-128045808	+	Spryd4	ENSMUSG00000051346.10	protein_coding	chr10:128045777-128047676	-
Gls2	ENSMUSG00000044005.14	protein_coding	chr10:128030588-128045803	+	Spryd4	ENSMUSG00000051346.10	protein_coding	chr10:128045777-128047676	-
Gls2	ENSMUSG00000044005.14	protein_coding	chr10:128030595-128045873	+	Spryd4	ENSMUSG00000051346.10	protein_coding	chr10:128045777-128047676	-
Gls2	ENSMUSG00000044005.14	protein_coding	chr10:128030617-128045803	+	Spryd4	ENSMUSG00000051346.10	protein_coding	chr10:128045777-128047676	-
Gls2	ENSMUSG00000044005.14	protein_coding	chr10:128039633-128045811	+	Spryd4	ENSMUSG00000051346.10	protein_coding	chr10:128045777-128047676	-
Ankrd52	ENSMUSG00000014498.10	protein_coding	chr10:128212984-128221365	+	ENSMUSG00002074905	ENSMUSG00002074905.1	miRNA	chr10:128213700-128213768	-
Ankrd52	ENSMUSG00000014498.10	protein_coding	chr10:128212988-128229875	+	ENSMUSG00002074905	ENSMUSG00002074905.1	miRNA	chr10:128213700-128213768	-
Ankrd52	ENSMUSG00000014498.10	protein_coding	chr10:128225159-128244573	+	Gm17201	ENSMUSG00000090761.2	lncRNA	chr10:128227711-128231432	-
ENSMUSG00002075171	ENSMUSG00002075171.1	miRNA	chr10:128238627-128238702	+	Nabp2	ENSMUSG00000025374.14	protein_coding	chr10:128237769-128245501	-
Gm29585	ENSMUSG00000100548.2	lncRNA	chr10:128358132-128361505	+	Esyt1	ENSMUSG00000025366.9	protein_coding	chr10:128345834-128361739	-
Gm29585	ENSMUSG00000100548.2	lncRNA	chr10:128360440-128361526	+	Esyt1	ENSMUSG00000025366.9	protein_coding	chr10:128345834-128361739	-
Gm29585	ENSMUSG00000100548.2	lncRNA	chr10:128361197-128381228	+	Zc3h10	ENSMUSG00000039810.12	protein_coding	chr10:128377832-128383643	-
Gm26876	ENSMUSG00000097372.2	lncRNA	chr10:128481753-128485680	+	Ikzf4	ENSMUSG00000002578.19	protein_coding	chr10:128466712-128481860	-
Pmel	ENSMUSG00000025359.11	protein_coding	chr10:128540064-128551496	+	Cdk2	ENSMUSG00000025358.17	protein_coding	chr10:128533808-128540872	-
Pmel	ENSMUSG00000025359.11	protein_coding	chr10:128542127-128556107	+	Dgka	ENSMUSG00000025357.9	protein_coding	chr10:128556003-128579944	-
Mmp19	ENSMUSG00000025355.8	protein_coding	chr10:128626779-128635654	+	Gm47093	ENSMUSG00000112429.2	lncRNA	chr10:128625298-128637262	-
Mmp19	ENSMUSG00000025355.8	protein_coding	chr10:128626830-128636693	+	Tmem198b	ENSMUSG00000047090.14	protein_coding	chr10:128635905-128640239	-
Mmp19	ENSMUSG00000025355.8	protein_coding	chr10:128626831-128627619	+	Gm47093	ENSMUSG00000112429.2	lncRNA	chr10:128625298-128637262	-
Dnajc14	ENSMUSG00000025354.6	protein_coding	chr10:128639931-128642489	+	Tmem198b	ENSMUSG00000047090.14	protein_coding	chr10:128635905-128640239	-
